Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
56,Raoul Bellanova,it,DF,Milan,17,2000,0,,,,,0,,0,,3,,,,,,,,,,,,/en/players/e3756e72/matchlogs/2017-2018/summary/Raoul-Bellanova-Match-Logs
57,Alessandro Bellemo,it,MF,SPAL,21,1995,0,,,,,0,,0,,19,,,,,,,,,,,,/en/players/fb8b8534/matchlogs/2017-2018/summary/Alessandro-Bellemo-Match-Logs
58,Andrea Belotti,it,FW,Torino,23,1993,32,"2,683",84,78.5,29.8,29,,3,,0,1.50,43,35,+8,+0.27,+0.27,38.0,44.1,-6.1,-0.21,+0.27,/en/players/d705ba44/matchlogs/2017-2018/summary/Andrea-Belotti-Match-Logs
59,Ahmad Benali,ly,MF,Crotone,25,1992,10,811,81,23.7,9.0,10,,0,,0,0.90,14,15,-1,-0.11,+0.75,12.6,10.1,+2.5,+0.28,+0.75,/en/players/a128b07e/matchlogs/2017-2018/summary/Ahmad-Benali-Match-Logs
60,Marco Benassi,it,"MF,FW",Fiorentina,22,1994,35,"2,782",79,81.3,30.9,35,,0,,2,1.51,41,35,+6,+0.19,-0.09,47.0,32.2,+14.8,+0.48,-0.09,/en/players/0000acda/matchlogs/2017-2018/summary/Marco-Benassi-Match-Logs
61,Medhi Benatia,ma,DF,Juventus,30,1987,20,"1,755",88,51.3,19.5,19,,1,,13,2.55,40,8,+32,+1.64,+0.02,27.3,13.0,+14.2,+0.73,+0.02,/en/players/3b15ef2d/matchlogs/2017-2018/summary/Medhi-Benatia-Match-Logs
62,Rodrigo Bentancur,uy,MF,Juventus,20,1997,20,581,29,17.0,6.5,5,,15,,17,2.35,17,7,+10,+1.55,-0.10,12.5,5.9,+6.6,+1.05,-0.10,/en/players/3b8674e6/matchlogs/2017-2018/summary/Rodrigo-Bentancur-Match-Logs
63,Domenico Berardi,it,FW,Sassuolo,22,1994,31,"2,296",74,67.1,25.5,29,,2,,0,1.13,17,37,-20,-0.78,+0.02,32.5,32.6,-0.1,0.00,+0.02,/en/players/53a0e358/matchlogs/2017-2018/summary/Domenico-Berardi-Match-Logs
64,Álex Berenguer,es,FW,Torino,22,1995,22,"1,043",47,30.5,11.6,11,,11,,13,1.64,18,13,+5,+0.43,+0.32,14.2,15.5,-1.3,-0.11,+0.32,/en/players/dc1c2fce/matchlogs/2017-2018/summary/Alex-Berenguer-Match-Logs
65,Bartosz Bereszyński,pl,DF,Sampdoria,25,1992,31,"2,480",80,72.5,27.6,28,,3,,4,1.45,37,39,-2,-0.07,+0.12,35.3,49.5,-14.2,-0.51,+0.12,/en/players/61b3978f/matchlogs/2017-2018/summary/Bartosz-Bereszynski-Match-Logs
66,Etrit Berisha,al,GK,Atalanta,28,1989,31,"2,790",90,81.6,31.0,31,,0,,7,1.58,46,34,+12,+0.39,-0.47,54.6,30.6,+23.9,+0.77,-0.47,/en/players/ee833569/matchlogs/2017-2018/summary/Etrit-Berisha-Match-Logs
67,Federico Bernardeschi,it,"FW,MF",Juventus,23,1994,22,847,39,24.8,9.4,7,,15,,7,2.45,23,5,+18,+1.91,+0.37,15.8,8.0,+7.8,+0.85,+0.37,/en/players/ee93c1a9/matchlogs/2017-2018/summary/Federico-Bernardeschi-Match-Logs
68,Tommaso Berni,it,GK,Inter,34,1983,0,,,,,0,,0,,34,,,,,,,,,,,,/en/players/7b8f85c7/matchlogs/2017-2018/summary/Tommaso-Berni-Match-Logs
69,Andrea Bertolacci,it,MF,Genoa,26,1991,33,"2,895",88,84.6,32.2,33,,0,,2,1.15,28,35,-7,-0.22,+0.30,38.0,36.0,+2.0,+0.06,+0.30,/en/players/c75b6a02/matchlogs/2017-2018/summary/Andrea-Bertolacci-Match-Logs
70,Daniel Bessa,it,"MF,FW",Hellas Verona,24,1993,17,"1,389",82,40.6,15.4,15,,2,,0,0.76,13,31,-18,-1.17,+0.16,16.4,31.1,-14.7,-0.97,+0.16,/en/players/88895312/matchlogs/2017-2018/summary/Daniel-Bessa-Match-Logs
71,Daniel Bessa,it,MF,Genoa,24,1993,11,438,40,12.8,4.9,6,,5,,4,1.64,9,9,0,0.00,+0.30,6.6,7.3,-0.7,-0.14,+0.30,/en/players/88895312/matchlogs/2017-2018/summary/Daniel-Bessa-Match-Logs
72,Matteo Bianchetti,it,DF,Hellas Verona,24,1993,2,124,62,3.6,1.4,1,,1,,3,1.50,1,0,+1,+0.73,+2.06,1.2,1.7,-0.5,-0.40,+2.06,/en/players/b3a20f18/matchlogs/2017-2018/summary/Matteo-Bianchetti-Match-Logs
73,Lucas Biglia,ar,MF,Milan,31,1986,28,"2,039",73,59.6,22.7,24,,4,,3,1.54,32,23,+9,+0.40,+0.07,33.9,22.0,+12.0,+0.53,+0.07,/en/players/5710a281/matchlogs/2017-2018/summary/Lucas-Biglia-Match-Logs
74,Jean-Claude Billong,fr,DF,Benevento,23,1993,5,294,59,8.6,3.3,3,,2,,11,0.60,3,11,-8,-2.45,-1.21,4.4,6.4,-2.0,-0.62,-1.21,/en/players/a3e1d20d/matchlogs/2017-2018/summary/Jean-Claude-Billong-Match-Logs
75,Davide Biondini,it,"MF,FW",Sassuolo,34,1983,7,206,29,6.0,2.3,2,,5,,25,0.86,1,5,-4,-1.75,-1.02,2.9,4.5,-1.6,-0.70,-1.02,/en/players/b4c3070a/matchlogs/2017-2018/summary/Davide-Biondini-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Cristiano Biraghi,it,DF,Fiorentina,24,1992,34,"2,980",88,87.1,33.1,34,,0,,3,1.56,51,40,+11,+0.33,+0.95,53.3,36.2,+17.1,+0.52,+0.95,/en/players/9e1577aa/matchlogs/2017-2018/summary/Cristiano-Biraghi-Match-Logs
