Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
51,Ahmad Benali,ly,MF,Crotone,25,1992,9.0,477,20,111,262,135,13,452,7,10,70.0,7,0,314,1593,786,359,290,80.8,10,15,/en/players/a128b07e/matchlogs/2017-2018/possession/Ahmad-Benali-Match-Logs
52,Marco Benassi,it,"MF,FW",Fiorentina,22,1994,30.9,1688,35,276,904,618,92,1664,20,33,60.6,20,1,1143,5723,3059,1332,1157,86.9,44,31,/en/players/0000acda/matchlogs/2017-2018/possession/Marco-Benassi-Match-Logs
53,Medhi Benatia,ma,DF,Juventus,30,1987,19.5,1558,172,792,821,40,15,1538,6,7,85.7,6,1,1116,5449,2429,1084,1068,98.5,2,4,/en/players/3b15ef2d/matchlogs/2017-2018/possession/Medhi-Benatia-Match-Logs
54,Rodrigo Bentancur,uy,MF,Juventus,20,1997,6.5,609,15,130,415,114,4,599,8,16,50.0,8,0,451,2565,1463,471,456,96.8,1,5,/en/players/3b8674e6/matchlogs/2017-2018/possession/Rodrigo-Bentancur-Match-Logs
55,Domenico Berardi,it,FW,Sassuolo,22,1994,25.5,1311,20,133,492,780,99,1217,37,60,61.7,42,4,961,6005,3162,1240,916,73.9,53,50,/en/players/53a0e358/matchlogs/2017-2018/possession/Domenico-Berardi-Match-Logs
56,Álex Berenguer,es,FW,Torino,22,1995,11.6,660,15,100,277,340,46,610,35,58,60.3,36,2,486,4014,2340,550,448,81.5,38,41,/en/players/dc1c2fce/matchlogs/2017-2018/possession/Alex-Berenguer-Match-Logs
57,Bartosz Bereszyński,pl,DF,Sampdoria,25,1992,27.6,1853,94,537,1001,434,8,1575,24,37,64.9,24,0,1115,5790,2976,1111,1052,94.7,14,19,/en/players/61b3978f/matchlogs/2017-2018/possession/Bartosz-Bereszynski-Match-Logs
58,Etrit Berisha,al,GK,Atalanta,28,1989,31.0,871,773,865,6,0,0,591,0,0,,0,0,400,1904,1025,288,288,100.0,1,0,/en/players/ee833569/matchlogs/2017-2018/possession/Etrit-Berisha-Match-Logs
59,Federico Bernardeschi,it,"FW,MF",Juventus,23,1994,9.4,532,19,81,229,265,36,526,23,33,69.7,26,0,438,3104,1343,467,397,85.0,18,26,/en/players/ee93c1a9/matchlogs/2017-2018/possession/Federico-Bernardeschi-Match-Logs
60,Andrea Bertolacci,it,MF,Genoa,26,1991,32.2,1987,59,426,1215,465,44,1921,14,21,66.7,16,1,1372,6166,3392,1411,1302,92.3,33,39,/en/players/c75b6a02/matchlogs/2017-2018/possession/Andrea-Bertolacci-Match-Logs
61,Daniel Bessa,it,"MF,FW",Hellas Verona,24,1993,15.4,822,15,174,454,267,34,799,23,37,62.2,26,1,645,4506,2212,746,591,79.2,23,19,/en/players/88895312/matchlogs/2017-2018/possession/Daniel-Bessa-Match-Logs
62,Daniel Bessa,it,MF,Genoa,24,1993,4.9,269,4,37,144,107,19,254,5,6,83.3,5,0,190,1225,577,210,174,82.9,12,14,/en/players/88895312/matchlogs/2017-2018/possession/Daniel-Bessa-Match-Logs
63,Matteo Bianchetti,it,DF,Hellas Verona,24,1993,1.4,80,13,34,32,19,0,66,0,0,,0,0,40,185,53,42,39,92.9,0,0,/en/players/b3a20f18/matchlogs/2017-2018/possession/Matteo-Bianchetti-Match-Logs
64,Lucas Biglia,ar,MF,Milan,31,1986,22.7,1860,77,451,1193,309,8,1816,11,16,68.8,11,0,1324,5209,2491,1327,1290,97.2,13,18,/en/players/5710a281/matchlogs/2017-2018/possession/Lucas-Biglia-Match-Logs
65,Jean-Claude Billong,fr,DF,Benevento,23,1993,3.3,191,21,112,85,3,0,172,2,2,100.0,2,0,116,657,277,110,109,99.1,0,1,/en/players/a3e1d20d/matchlogs/2017-2018/possession/Jean-Claude-Billong-Match-Logs
66,Davide Biondini,it,"MF,FW",Sassuolo,34,1983,2.3,126,1,15,83,35,1,122,0,0,,0,0,90,411,195,104,94,90.4,2,2,/en/players/b4c3070a/matchlogs/2017-2018/possession/Davide-Biondini-Match-Logs
67,Cristiano Biraghi,it,DF,Fiorentina,24,1992,33.1,2098,101,599,936,660,28,1685,11,21,52.4,11,1,1088,5424,2996,1143,1073,93.9,26,9,/en/players/9e1577aa/matchlogs/2017-2018/possession/Cristiano-Biraghi-Match-Logs
68,Davide Biraschi,it,DF,Genoa,23,1994,20.0,1202,89,484,669,167,5,1121,20,30,66.7,22,1,819,4897,2953,759,738,97.2,13,12,/en/players/64cd167d/matchlogs/2017-2018/possession/Davide-Biraschi-Match-Logs
69,Valter Birsa,si,"MF,FW",Chievo,30,1986,27.8,1804,17,160,937,852,44,1577,48,84,57.1,53,2,1239,7211,3636,1466,1242,84.7,48,57,/en/players/455a2b79/matchlogs/2017-2018/possession/Valter-Birsa-Match-Logs
70,Albano Bizzarri,ar,GK,Udinese,39,1977,32.0,1126,977,1122,5,0,0,762,1,1,100.0,1,0,527,3052,1644,400,400,100.0,1,0,/en/players/32b9b5fa/matchlogs/2017-2018/possession/Albano-Bizzarri-Match-Logs
71,Deian Boldor,ro,DF,Hellas Verona,22,1995,1.0,51,14,33,19,0,0,51,0,0,,0,0,24,116,53,25,24,96.0,0,0,/en/players/9b7533de/matchlogs/2017-2018/possession/Deian-Boldor-Match-Logs
72,Giacomo Bonaventura,it,MF,Milan,27,1989,28.2,1820,50,310,953,703,89,1745,31,49,63.3,35,0,1384,7644,4224,1508,1363,90.4,37,43,/en/players/d995ed27/matchlogs/2017-2018/possession/Giacomo-Bonaventura-Match-Logs
73,Federico Bonazzoli,it,FW,Sampdoria,20,1997,0.3,15,0,2,7,8,2,15,1,1,100.0,1,1,13,67,19,16,13,81.3,0,0,/en/players/bf57eaab/matchlogs/2017-2018/possession/Federico-Bonazzoli-Match-Logs
74,Federico Bonazzoli,it,FW,SPAL,20,1997,2.0,73,2,7,35,33,9,71,3,4,75.0,3,0,57,229,82,78,58,74.4,8,5,/en/players/bf57eaab/matchlogs/2017-2018/possession/Federico-Bonazzoli-Match-Logs
75,Kevin Bonifazi,it,"DF,FW",Torino,21,1996,4.5,247,31,126,113,23,3,240,1,4,25.0,3,0,152,1068,483,139,133,95.7,6,2,/en/players/fb77bfef/matchlogs/2017-2018/possession/Kevin-Bonifazi-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Leonardo Bonucci,it,DF,Milan,30,1987,34.3,2369,221,1093,1286,142,35,2274,2,6,33.3,3,0,1607,8530,4898,1662,1634,98.3,8,8,/en/players/52ec54d0/matchlogs/2017-2018/possession/Leonardo-Bonucci-Match-Logs
77,Fabio Borini,it,"FW,DF",Milan,26,1991,17.9,1080,25,211,475,464,60,998,15,29,51.7,17,0,718,4404,2582,801,708,88.4,25,24,/en/players/ef5b337e/matchlogs/2017-2018/possession/Fabio-Borini-Match-Logs
78,Marco Borriello,it,FW,SPAL,35,1982,8.6,248,6,25,121,122,37,230,4,9,44.4,4,0,163,1233,400,346,174,50.3,26,14,/en/players/a889ffc7/matchlogs/2017-2018/possession/Marco-Borriello-Match-Logs
79,Lucas Boyé,ar,"FW,MF",Torino,21,1996,1.7,141,6,20,70,58,5,139,5,8,62.5,5,0,107,617,313,131,100,76.3,14,15,/en/players/d49f3e6b/matchlogs/2017-2018/possession/Lucas-Boye-Match-Logs
80,Enrico Brignola,it,"FW,MF",Benevento,18,1999,15.0,677,7,126,343,277,49,670,35,62,56.5,41,3,573,4462,2161,668,523,78.3,35,44,/en/players/d0643f8f/matchlogs/2017-2018/possession/Enrico-Brignola-Match-Logs
81,Alberto Brignoli,it,GK,Benevento,25,1991,12.5,526,454,521,4,1,1,380,0,0,,0,0,258,1216,648,214,212,99.1,0,0,/en/players/6989550f/matchlogs/2017-2018/possession/Alberto-Brignoli-Match-Logs
82,Petar Brlek,hr,MF,Genoa,23,1994,2.6,136,2,29,86,31,3,133,0,2,0.0,1,0,101,487,212,102,97,95.1,2,6,/en/players/4590c6e7/matchlogs/2017-2018/possession/Petar-Brlek-Match-Logs
83,Marcelo Brozović,hr,MF,Inter,24,1992,21.4,2037,34,306,1188,672,62,1927,25,36,69.4,27,1,1472,7553,3594,1665,1545,92.8,28,27,/en/players/33b8d077/matchlogs/2017-2018/possession/Marcelo-Brozovic-Match-Logs
84,Marcel Büchel,li,MF,Hellas Verona,26,1991,18.8,1079,69,314,650,162,1,1062,25,35,71.4,29,0,684,3003,1142,682,629,92.2,23,21,/en/players/2edeb221/matchlogs/2017-2018/possession/Marcel-Buchel-Match-Logs
85,Ante Budimir,hr,FW,Crotone,26,1991,17.6,678,32,72,336,307,79,656,11,25,44.0,11,0,367,2143,1043,942,478,50.7,74,43,/en/players/8f3565b3/matchlogs/2017-2018/possession/Ante-Budimir-Match-Logs
86,Gianluigi Buffon,it,GK,Juventus,39,1978,20.7,611,545,610,2,0,0,467,1,1,100.0,1,0,329,1557,766,287,285,99.3,0,0,/en/players/e40d028b/matchlogs/2017-2018/possession/Gianluigi-Buffon-Match-Logs
87,Alessandro Buongiorno,it,DF,Torino,18,1999,0.1,8,1,5,3,0,0,8,0,0,,0,0,4,0,0,5,5,100.0,0,0,/en/players/4ae67f27/matchlogs/2017-2018/possession/Alessandro-Buongiorno-Match-Logs
88,Nicolás Burdisso,ar,DF,Torino,36,1981,23.0,1320,211,791,584,27,14,1269,1,1,100.0,1,0,755,4025,2148,805,800,99.4,4,2,/en/players/9417f322/matchlogs/2017-2018/possession/Nicolas-Burdisso-Match-Logs
89,Leandro Cabrera,uy,DF,Crotone,26,1991,4.1,164,37,104,62,3,2,163,0,0,,0,0,72,389,181,64,62,96.9,1,0,/en/players/69cbc8b6/matchlogs/2017-2018/possession/Leandro-Cabrera-Match-Logs
90,Fabrizio Cacciatore,it,DF,Chievo,30,1986,31.9,2279,150,726,978,685,45,1971,14,28,50.0,15,1,1383,6262,3280,1499,1385,92.4,17,24,/en/players/00b0bb87/matchlogs/2017-2018/possession/Fabrizio-Cacciatore-Match-Logs
91,Martín Cáceres,uy,DF,Hellas Verona,30,1987,12.9,683,68,292,305,124,27,595,4,9,44.4,6,1,391,2303,1381,391,353,90.3,11,4,/en/players/e94d79e3/matchlogs/2017-2018/possession/Martin-Caceres-Match-Logs
92,Martín Cáceres,uy,DF,Lazio,30,1987,4.9,271,21,117,138,40,8,261,0,0,,0,0,170,1045,631,170,166,97.6,5,2,/en/players/e94d79e3/matchlogs/2017-2018/possession/Martin-Caceres-Match-Logs
93,Felipe Caicedo,ec,FW,Lazio,28,1988,8.0,259,4,23,109,140,45,258,16,19,84.2,16,2,181,893,493,361,201,55.7,17,14,/en/players/93b891d1/matchlogs/2017-2018/possession/Felipe-Caicedo-Match-Logs
94,Davide Calabria,it,DF,Milan,20,1996,17.4,1324,59,380,609,404,15,1155,12,18,66.7,13,2,773,3607,2202,810,749,92.5,13,7,/en/players/2146785a/matchlogs/2017-2018/possession/Davide-Calabria-Match-Logs
95,Mattia Caldara,it,DF,Atalanta,23,1994,24.0,1284,165,697,592,69,23,1230,4,9,44.4,4,0,716,3863,1703,637,624,98.0,10,8,/en/players/ac7e640b/matchlogs/2017-2018/possession/Mattia-Caldara-Match-Logs
96,Hakan Çalhanoğlu,tr,"FW,MF",Milan,23,1994,24.1,1644,22,185,720,835,84,1491,28,37,75.7,32,1,1208,6418,3416,1345,1179,87.7,51,27,/en/players/cd0fa27b/matchlogs/2017-2018/possession/Hakan-Calhanoglu-Match-Logs
97,Fabrizio Caligara,it,MF,Cagliari,17,2000,0.2,7,0,3,4,1,0,6,1,2,50.0,1,0,6,38,23,5,5,100.0,0,0,/en/players/22ca11f1/matchlogs/2017-2018/possession/Fabrizio-Caligara-Match-Logs
98,José Callejón,es,FW,Napoli,30,1987,36.0,1973,32,184,759,1112,158,1805,25,49,51.0,29,4,1284,5199,2534,1879,1413,75.2,37,24,/en/players/78841da9/matchlogs/2017-2018/possession/Jose-Callejon-Match-Logs
99,Simone Calvano,it,MF,Hellas Verona,24,1993,7.2,329,14,78,207,58,6,327,7,10,70.0,8,1,208,1144,609,210,187,89.0,8,6,/en/players/9dabfcf5/matchlogs/2017-2018/possession/Simone-Calvano-Match-Logs
100,João Cancelo,pt,DF,Inter,23,1994,20.6,1848,80,469,866,660,25,1620,52,84,61.9,57,8,1303,7557,4712,1345,1272,94.6,31,29,/en/players/bd6351cd/matchlogs/2017-2018/possession/Joao-Cancelo-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Antonio Candreva,it,FW,Inter,30,1987,28.2,1904,22,210,810,1070,98,1748,53,94,56.4,59,5,1495,10809,6315,1738,1484,85.4,43,30,/en/players/356c9002/matchlogs/2017-2018/possession/Antonio-Candreva-Match-Logs
102,Paolo Cannavaro,it,DF,Sassuolo,36,1981,16.0,720,99,399,336,26,10,696,1,2,50.0,2,0,369,1881,1009,407,399,98.0,0,3,/en/players/46ed55b6/matchlogs/2017-2018/possession/Paolo-Cannavaro-Match-Logs
103,Leonardo Capezzi,it,MF,Sampdoria,22,1995,2.4,151,8,32,93,32,1,141,0,0,,0,0,92,363,182,100,89,89.0,1,3,/en/players/07ea0ef2/matchlogs/2017-2018/possession/Leonardo-Capezzi-Match-Logs
104,Elio Capradossi,it,DF,Roma,21,1996,0.9,71,16,44,30,0,0,66,0,0,,0,0,34,194,62,32,30,93.8,1,0,/en/players/174944a3/matchlogs/2017-2018/possession/Elio-Capradossi-Match-Logs
105,Gianluca Caprari,it,"FW,MF",Sampdoria,24,1993,20.1,1006,6,74,408,609,119,950,60,104,57.7,65,6,780,4745,2810,1023,760,74.3,56,57,/en/players/54e53b7e/matchlogs/2017-2018/possession/Gianluca-Caprari-Match-Logs
106,Marco Capuano,it,DF,Crotone,25,1991,15.6,779,126,397,411,9,5,757,0,1,0.0,0,0,399,2428,1372,394,390,99.0,0,4,/en/players/616aea37/matchlogs/2017-2018/possession/Marco-Capuano-Match-Logs
107,Marco Capuano,it,DF,Cagliari,25,1991,7.7,452,36,157,238,79,4,385,6,8,75.0,6,1,263,1284,690,275,260,94.5,5,4,/en/players/616aea37/matchlogs/2017-2018/possession/Marco-Capuano-Match-Logs
108,Antonio Caracciolo,it,DF,Hellas Verona,27,1990,31.7,1362,320,921,461,50,23,1337,6,7,85.7,6,0,712,3897,1661,756,719,95.1,2,8,/en/players/99d8fc35/matchlogs/2017-2018/possession/Antonio-Caracciolo-Match-Logs
109,Francesco Cassata,it,MF,Sassuolo,20,1997,5.1,188,2,34,100,67,4,179,8,14,57.1,8,0,137,822,334,143,112,78.3,7,5,/en/players/96960855/matchlogs/2017-2018/possession/Francesco-Cassata-Match-Logs
110,Timothy Castagne,be,"DF,MF",Atalanta,21,1995,16.7,1162,47,303,534,381,41,1026,18,31,58.1,22,1,756,3722,2092,796,703,88.3,19,10,/en/players/197640fd/matchlogs/2017-2018/possession/Timothy-Castagne-Match-Logs
