Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
57,Bartosz Bereszyński,pl,DF,Sampdoria,25,1992,27.6,5,0,0,24,27,0,61,37,45,0,1,0,275,25,26,49.0,/en/players/61b3978f/matchlogs/2017-2018/misc/Bartosz-Bereszynski-Match-Logs
58,Etrit Berisha,al,GK,Atalanta,28,1989,31.0,0,0,0,1,3,0,0,2,0,0,0,0,170,0,0,,/en/players/ee833569/matchlogs/2017-2018/misc/Etrit-Berisha-Match-Logs
59,Federico Bernardeschi,it,"FW,MF",Juventus,23,1994,9.4,4,0,0,13,25,1,24,12,10,1,0,0,66,2,4,33.3,/en/players/ee93c1a9/matchlogs/2017-2018/misc/Federico-Bernardeschi-Match-Logs
60,Andrea Bertolacci,it,MF,Genoa,26,1991,32.2,7,1,0,68,86,0,31,55,57,1,0,0,354,25,21,54.3,/en/players/c75b6a02/matchlogs/2017-2018/misc/Andrea-Bertolacci-Match-Logs
61,Daniel Bessa,it,"MF,FW",Hellas Verona,24,1993,15.4,5,0,0,28,13,5,23,15,18,1,0,0,126,2,18,10.0,/en/players/88895312/matchlogs/2017-2018/misc/Daniel-Bessa-Match-Logs
62,Daniel Bessa,it,MF,Genoa,24,1993,4.9,0,0,0,9,4,0,9,6,4,0,0,0,54,4,6,40.0,/en/players/88895312/matchlogs/2017-2018/misc/Daniel-Bessa-Match-Logs
63,Matteo Bianchetti,it,DF,Hellas Verona,24,1993,1.4,1,0,0,2,1,0,4,1,0,0,0,0,12,3,3,50.0,/en/players/b3a20f18/matchlogs/2017-2018/misc/Matteo-Bianchetti-Match-Logs
64,Lucas Biglia,ar,MF,Milan,31,1986,22.7,5,0,0,35,41,0,8,30,41,0,0,0,317,15,17,46.9,/en/players/5710a281/matchlogs/2017-2018/misc/Lucas-Biglia-Match-Logs
65,Jean-Claude Billong,fr,DF,Benevento,23,1993,3.3,0,0,0,3,1,0,1,6,7,0,0,0,24,2,3,40.0,/en/players/a3e1d20d/matchlogs/2017-2018/misc/Jean-Claude-Billong-Match-Logs
66,Davide Biondini,it,"MF,FW",Sassuolo,34,1983,2.3,1,0,0,6,2,0,4,2,3,0,0,0,16,2,3,40.0,/en/players/b4c3070a/matchlogs/2017-2018/misc/Davide-Biondini-Match-Logs
67,Cristiano Biraghi,it,DF,Fiorentina,24,1992,33.1,7,0,0,38,35,0,244,50,40,1,0,0,320,32,31,50.8,/en/players/9e1577aa/matchlogs/2017-2018/misc/Cristiano-Biraghi-Match-Logs
68,Davide Biraschi,it,DF,Genoa,23,1994,20.0,2,0,0,24,22,0,36,38,28,0,0,0,197,26,17,60.5,/en/players/64cd167d/matchlogs/2017-2018/misc/Davide-Biraschi-Match-Logs
69,Valter Birsa,si,"MF,FW",Chievo,30,1986,27.8,3,0,0,24,32,1,223,24,15,0,0,0,213,25,45,35.7,/en/players/455a2b79/matchlogs/2017-2018/misc/Valter-Birsa-Match-Logs
70,Albano Bizzarri,ar,GK,Udinese,39,1977,32.0,0,1,0,2,3,0,1,2,0,0,0,0,186,0,0,,/en/players/32b9b5fa/matchlogs/2017-2018/misc/Albano-Bizzarri-Match-Logs
71,Deian Boldor,ro,DF,Hellas Verona,22,1995,1.0,1,0,0,1,0,0,0,3,0,0,0,0,7,2,2,50.0,/en/players/9b7533de/matchlogs/2017-2018/misc/Deian-Boldor-Match-Logs
72,Giacomo Bonaventura,it,MF,Milan,27,1989,28.2,3,0,0,23,48,2,79,33,21,0,0,0,223,20,28,41.7,/en/players/d995ed27/matchlogs/2017-2018/misc/Giacomo-Bonaventura-Match-Logs
73,Federico Bonazzoli,it,FW,Sampdoria,20,1997,0.3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,,/en/players/bf57eaab/matchlogs/2017-2018/misc/Federico-Bonazzoli-Match-Logs
74,Federico Bonazzoli,it,FW,SPAL,20,1997,2.0,0,0,0,4,7,0,1,0,2,0,0,0,5,2,6,25.0,/en/players/bf57eaab/matchlogs/2017-2018/misc/Federico-Bonazzoli-Match-Logs
75,Kevin Bonifazi,it,"DF,FW",Torino,21,1996,4.5,0,0,0,3,4,0,1,12,7,0,0,0,44,8,2,80.0,/en/players/fb77bfef/matchlogs/2017-2018/misc/Kevin-Bonifazi-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,
76,Leonardo Bonucci,it,DF,Milan,30,1987,34.3,5,1,0,25,27,9,15,47,16,0,0,0,306,44,32,57.9,/en/players/52ec54d0/matchlogs/2017-2018/misc/Leonardo-Bonucci-Match-Logs
77,Fabio Borini,it,"FW,DF",Milan,26,1991,17.9,5,0,0,19,43,1,58,17,14,0,0,0,152,13,20,39.4,/en/players/ef5b337e/matchlogs/2017-2018/misc/Fabio-Borini-Match-Logs
78,Marco Borriello,it,FW,SPAL,35,1982,8.6,6,0,0,14,10,11,3,3,2,0,0,0,37,22,24,47.8,/en/players/a889ffc7/matchlogs/2017-2018/misc/Marco-Borriello-Match-Logs
79,Lucas Boyé,ar,"FW,MF",Torino,21,1996,1.7,0,0,0,6,2,1,6,2,6,0,0,0,18,1,9,10.0,/en/players/d49f3e6b/matchlogs/2017-2018/misc/Lucas-Boye-Match-Logs
80,Enrico Brignola,it,"FW,MF",Benevento,18,1999,15.0,5,0,0,32,13,8,16,6,18,0,0,0,81,3,13,18.8,/en/players/d0643f8f/matchlogs/2017-2018/misc/Enrico-Brignola-Match-Logs
81,Alberto Brignoli,it,GK,Benevento,25,1991,12.5,2,0,0,3,1,0,0,0,0,0,1,0,59,0,0,,/en/players/6989550f/matchlogs/2017-2018/misc/Alberto-Brignoli-Match-Logs
82,Petar Brlek,hr,MF,Genoa,23,1994,2.6,1,0,0,3,1,0,2,2,4,0,0,0,21,2,4,33.3,/en/players/4590c6e7/matchlogs/2017-2018/misc/Petar-Brlek-Match-Logs
83,Marcelo Brozović,hr,MF,Inter,24,1992,21.4,9,0,0,34,16,0,98,19,35,0,0,0,198,17,28,37.8,/en/players/33b8d077/matchlogs/2017-2018/misc/Marcelo-Brozovic-Match-Logs
84,Marcel Büchel,li,MF,Hellas Verona,26,1991,18.8,9,0,0,44,19,0,16,48,24,0,0,0,251,48,27,64.0,/en/players/2edeb221/matchlogs/2017-2018/misc/Marcel-Buchel-Match-Logs
85,Ante Budimir,hr,FW,Crotone,26,1991,17.6,8,0,0,41,45,20,3,6,15,0,0,0,80,91,107,46.0,/en/players/8f3565b3/matchlogs/2017-2018/misc/Ante-Budimir-Match-Logs
86,Gianluigi Buffon,it,GK,Juventus,39,1978,20.7,1,0,0,2,4,0,0,1,0,0,1,0,86,0,0,,/en/players/e40d028b/matchlogs/2017-2018/misc/Gianluigi-Buffon-Match-Logs
87,Alessandro Buongiorno,it,DF,Torino,18,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,100.0,/en/players/4ae67f27/matchlogs/2017-2018/misc/Alessandro-Buongiorno-Match-Logs
88,Nicolás Burdisso,ar,DF,Torino,36,1981,23.0,6,0,0,17,8,0,2,30,10,0,0,0,236,46,20,69.7,/en/players/9417f322/matchlogs/2017-2018/misc/Nicolas-Burdisso-Match-Logs
89,Leandro Cabrera,uy,DF,Crotone,26,1991,4.1,0,0,0,7,3,0,0,9,5,0,0,0,50,6,4,60.0,/en/players/69cbc8b6/matchlogs/2017-2018/misc/Leandro-Cabrera-Match-Logs
90,Fabrizio Cacciatore,it,DF,Chievo,30,1986,31.9,5,1,0,15,21,3,130,44,30,0,0,0,332,46,35,56.8,/en/players/00b0bb87/matchlogs/2017-2018/misc/Fabrizio-Cacciatore-Match-Logs
91,Martín Cáceres,uy,DF,Hellas Verona,30,1987,12.9,3,0,0,8,14,0,19,22,13,0,0,0,139,16,8,66.7,/en/players/e94d79e3/matchlogs/2017-2018/misc/Martin-Caceres-Match-Logs
92,Martín Cáceres,uy,DF,Lazio,30,1987,4.9,0,0,0,3,1,0,8,4,7,0,0,0,54,5,5,50.0,/en/players/e94d79e3/matchlogs/2017-2018/misc/Martin-Caceres-Match-Logs
93,Felipe Caicedo,ec,FW,Lazio,28,1988,8.0,1,0,0,18,9,8,1,1,6,0,0,0,29,20,29,40.8,/en/players/93b891d1/matchlogs/2017-2018/misc/Felipe-Caicedo-Match-Logs
94,Davide Calabria,it,DF,Milan,20,1996,17.4,1,2,1,22,13,2,81,31,38,0,0,0,205,6,10,37.5,/en/players/2146785a/matchlogs/2017-2018/misc/Davide-Calabria-Match-Logs
95,Mattia Caldara,it,DF,Atalanta,23,1994,24.0,5,0,0,30,33,3,1,44,24,1,0,0,335,44,33,57.1,/en/players/ac7e640b/matchlogs/2017-2018/misc/Mattia-Caldara-Match-Logs
96,Hakan Çalhanoğlu,tr,"FW,MF",Milan,23,1994,24.1,6,2,1,29,25,7,158,25,24,0,0,0,175,10,14,41.7,/en/players/cd0fa27b/matchlogs/2017-2018/misc/Hakan-Calhanoglu-Match-Logs
97,Fabrizio Caligara,it,MF,Cagliari,17,2000,0.2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,/en/players/22ca11f1/matchlogs/2017-2018/misc/Fabrizio-Caligara-Match-Logs
98,José Callejón,es,FW,Napoli,30,1987,36.0,3,0,0,22,47,18,203,19,27,1,0,0,240,15,42,26.3,/en/players/78841da9/matchlogs/2017-2018/misc/Jose-Callejon-Match-Logs
99,Simone Calvano,it,MF,Hellas Verona,24,1993,7.2,1,0,0,18,7,0,7,16,12,0,0,0,73,12,11,52.2,/en/players/9dabfcf5/matchlogs/2017-2018/misc/Simone-Calvano-Match-Logs
100,João Cancelo,pt,DF,Inter,23,1994,20.6,4,0,0,30,25,3,191,32,31,0,0,0,183,14,15,48.3,/en/players/bd6351cd/matchlogs/2017-2018/misc/Joao-Cancelo-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,
101,Antonio Candreva,it,FW,Inter,30,1987,28.2,4,0,0,18,29,17,285,24,13,0,0,0,153,1,7,12.5,/en/players/356c9002/matchlogs/2017-2018/misc/Antonio-Candreva-Match-Logs
102,Paolo Cannavaro,it,DF,Sassuolo,36,1981,16.0,3,0,0,15,12,1,3,28,12,0,0,0,132,22,16,57.9,/en/players/46ed55b6/matchlogs/2017-2018/misc/Paolo-Cannavaro-Match-Logs
