Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
464,Eros Schiavon,it,"MF,DF",SPAL,34,1983,4.3,0,1,0,0.0,0.23,0.00,0.00,,0,0,0,0.0,0.0,0.01,0.0,0.0,/en/players/c4f97172/matchlogs/2017-2018/summary/Eros-Schiavon-Match-Logs
465,Patrik Schick,cz,FW,Roma,21,1996,11.0,2,28,11,39.3,2.54,1.00,0.07,0.18,0,0,0,3.3,3.3,0.12,-1.3,-1.3,/en/players/5d4f7d61/matchlogs/2017-2018/summary/Patrik-Schick-Match-Logs
466,Simone Scuffet,it,GK,Udinese,21,1996,6.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/41bd99ea/matchlogs/2017-2018/summary/Simone-Scuffet-Match-Logs
467,Stefano Sensi,it,MF,Sassuolo,21,1995,11.6,2,22,5,22.7,1.90,0.43,0.09,0.40,3,0,0,1.6,1.6,0.07,+0.4,+0.4,/en/players/b70bde8f/matchlogs/2017-2018/summary/Stefano-Sensi-Match-Logs
468,Luigi Sepe,it,GK,Napoli,26,1991,1.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/343f753a/matchlogs/2017-2018/summary/Luigi-Sepe-Match-Logs
469,Lee Seung-woo,kr,"MF,FW",Hellas Verona,19,1998,4.0,1,11,3,27.3,2.77,0.75,0.09,0.33,0,0,0,0.6,0.6,0.05,+0.4,+0.4,/en/players/0f22b650/matchlogs/2017-2018/summary/Lee-Seung-woo-Match-Logs
470,Stephan El Shaarawy,it,FW,Roma,24,1992,23.9,7,76,23,30.3,3.17,0.96,0.09,0.30,0,0,0,9.2,9.2,0.12,-2.2,-2.2,/en/players/d3aaad90/matchlogs/2017-2018/summary/Stephan-El-Shaarawy-Match-Logs
471,André Silva,pt,FW,Milan,21,1995,10.4,2,33,10,30.3,3.16,0.96,0.06,0.20,0,0,0,4.0,4.0,0.12,-2.0,-2.0,/en/players/3effaa34/matchlogs/2017-2018/summary/Andre-Silva-Match-Logs
472,Jonathan Silva,ar,DF,Roma,23,1994,1.2,0,1,1,100.0,0.80,0.80,0.00,0.00,1,0,0,0.0,0.0,0.04,0.0,0.0,/en/players/f2308b33/matchlogs/2017-2018/summary/Jonathan-Silva-Match-Logs
473,Matías Silvestre,ar,DF,Sampdoria,32,1984,34.0,1,16,6,37.5,0.47,0.18,0.06,0.17,0,0,0,1.8,1.8,0.11,-0.8,-0.8,/en/players/b6ca47a2/matchlogs/2017-2018/summary/Matias-Silvestre-Match-Logs
474,Marco Silvestri,it,GK,Hellas Verona,26,1991,2.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/0d422df7/matchlogs/2017-2018/summary/Marco-Silvestri-Match-Logs
475,Giovanni Simeone,ar,FW,Fiorentina,22,1995,33.3,14,107,38,35.5,3.21,1.14,0.13,0.37,0,0,0,14.6,14.6,0.14,-0.6,-0.6,/en/players/343c0d52/matchlogs/2017-2018/summary/Giovanni-Simeone-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,
476,Lorenco Šimić,hr,DF,SPAL,21,1996,3.5,1,2,1,50.0,0.57,0.28,0.50,1.00,0,0,0,0.1,0.1,0.07,+0.9,+0.9,/en/players/65e4dede/matchlogs/2017-2018/summary/Lorenco-Simic-Match-Logs
477,Stefan Simić,cz,DF,Crotone,22,1995,6.2,0,2,1,50.0,0.32,0.16,0.00,0.00,0,0,0,0.2,0.2,0.10,-0.2,-0.2,/en/players/b5365398/matchlogs/2017-2018/summary/Stefan-Simic-Match-Logs
478,Salvatore Sirigu,it,GK,Torino,30,1987,37.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/10dc46f0/matchlogs/2017-2018/summary/Salvatore-Sirigu-Match-Logs
479,Łukasz Skorupski,pl,GK,Roma,26,1991,1.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/ab4449d6/matchlogs/2017-2018/summary/Lukasz-Skorupski-Match-Logs
480,Milan Škriniar,sk,DF,Inter,22,1995,38.0,4,21,10,47.6,0.55,0.26,0.19,0.40,0,0,0,2.8,2.8,0.13,+1.2,+1.2,/en/players/30f5ffa9/matchlogs/2017-2018/summary/Milan-Skriniar-Match-Logs
481,Stefano Sorrentino,it,GK,Chievo,38,1979,38.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/048877f5/matchlogs/2017-2018/summary/Stefano-Sorrentino-Match-Logs
482,Samuel Souprayen,fr,DF,Hellas Verona,28,1989,17.6,0,5,0,0.0,0.28,0.00,0.00,,0,0,0,0.2,0.2,0.04,-0.2,-0.2,/en/players/f7c9fcd6/matchlogs/2017-2018/summary/Samuel-Souprayen-Match-Logs
483,Luca Sparandeo,it,DF,Benevento,17,1999,0.4,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/dfbb3234/matchlogs/2017-2018/summary/Luca-Sparandeo-Match-Logs
484,Leonardo Spinazzola,it,DF,Atalanta,24,1993,16.7,0,9,1,11.1,0.54,0.06,0.00,0.00,0,0,0,0.6,0.6,0.06,-0.6,-0.6,/en/players/3626daea/matchlogs/2017-2018/summary/Leonardo-Spinazzola-Match-Logs
485,Nicolás Spolli,ar,DF,Genoa,34,1983,20.0,0,6,0,0.0,0.30,0.00,0.00,,0,0,0,0.6,0.6,0.10,-0.6,-0.6,/en/players/9a560ebe/matchlogs/2017-2018/summary/Nicolas-Spolli-Match-Logs
486,Marco Sportiello,it,GK,Fiorentina,25,1992,35.6,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/ac4003af/matchlogs/2017-2018/summary/Marco-Sportiello-Match-Logs
487,Mariusz Stępiński,pl,FW,Chievo,22,1995,7.9,5,18,7,38.9,2.27,0.88,0.28,0.71,0,0,0,2.1,2.1,0.12,+2.9,+2.9,/en/players/7b536033/matchlogs/2017-2018/summary/Mariusz-Stepinski-Match-Logs
488,Ognjen Stijepović,me,MF,Sampdoria,17,1999,0.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/80ad4216/matchlogs/2017-2018/summary/Ognjen-Stijepovic-Match-Logs
489,Adrian Stoian,ro,"MF,FW",Crotone,26,1991,23.7,2,21,7,33.3,0.89,0.30,0.10,0.29,0,0,0,2.0,1.5,0.07,0.0,+0.5,/en/players/4468b31a/matchlogs/2017-2018/summary/Adrian-Stoian-Match-Logs
490,Thomas Strakosha,al,GK,Lazio,22,1995,38.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/339fe0e8/matchlogs/2017-2018/summary/Thomas-Strakosha-Match-Logs
491,Ivan Strinić,hr,DF,Sampdoria,30,1987,13.9,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/52e2ef8f/matchlogs/2017-2018/summary/Ivan-Strinic-Match-Logs
