Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
13,Joachim Andersen,dk,DF,Sampdoria,21,1996,6.1,8,4,6,2,0,8,4,100.0,0,29,7,24.1,6,2,0,6,4,0,2,10,18,41,0,/en/players/e34fc66d/matchlogs/2017-2018/defense/Joachim-Andersen-Match-Logs
14,Felipe Anderson,br,"MF,FW",Lazio,24,1993,12.9,28,19,4,13,11,28,33,21.2,26,265,79,29.8,4,13,11,17,0,0,17,12,40,3,0,/en/players/9f1893b9/matchlogs/2017-2018/defense/Felipe-Anderson-Match-Logs
15,Nícolas Andrade,br,GK,Hellas Verona,29,1988,36.0,0,0,0,0,0,0,2,0.0,2,4,0,0.0,0,0,0,2,0,0,2,3,3,3,2,/en/players/326d09ef/matchlogs/2017-2018/defense/Nicolas-Andrade-Match-Logs
16,Marco Andreolli,it,DF,Cagliari,31,1986,20.3,28,19,19,7,2,28,15,46.7,8,180,58,32.2,19,7,2,33,19,0,14,31,59,141,2,/en/players/13d820de/matchlogs/2017-2018/defense/Marco-Andreolli-Match-Logs
17,Gabriele Angella,it,DF,Udinese,28,1989,9.9,18,13,13,4,1,18,11,63.6,4,90,34,37.8,13,4,1,19,10,1,9,22,40,80,0,/en/players/0c971997/matchlogs/2017-2018/defense/Gabriele-Angella-Match-Logs
18,Cristian Ansaldi,ar,"DF,MF",Torino,30,1986,20.8,52,33,29,18,5,52,42,38.1,26,327,110,33.6,29,18,5,42,5,0,37,24,76,41,0,/en/players/bbafc0c4/matchlogs/2017-2018/defense/Cristian-Ansaldi-Match-Logs
19,Luca Antei,it,DF,Benevento,25,1992,6.6,23,13,17,6,0,23,14,42.9,8,83,27,32.5,17,6,0,10,8,0,2,33,56,32,1,/en/players/97c9bce3/matchlogs/2017-2018/defense/Luca-Antei-Match-Logs
20,Mirco Antenucci,it,FW,SPAL,32,1984,28.6,17,12,7,6,4,17,24,8.3,22,369,83,22.5,7,6,4,19,2,0,17,13,30,11,0,/en/players/43a2e16c/matchlogs/2017-2018/defense/Mirco-Antenucci-Match-Logs
21,Luca Antonelli,it,"DF,MF",Milan,30,1987,1.6,4,3,2,2,0,4,2,0.0,2,19,7,36.8,2,2,0,2,0,0,2,1,5,6,0,/en/players/40f0ed6c/matchlogs/2017-2018/defense/Luca-Antonelli-Match-Logs
22,Mirko Antonucci,it,FW,Roma,18,1999,0.3,1,1,0,0,1,1,0,,0,4,2,50.0,0,0,1,0,0,0,0,1,2,0,0,/en/players/91976866/matchlogs/2017-2018/defense/Mirko-Antonucci-Match-Logs
23,Samuel Armenteros,se,FW,Benevento,27,1990,4.8,4,1,0,4,0,4,3,0.0,3,114,20,17.5,0,4,0,3,0,0,3,1,5,4,0,/en/players/9c8f641a/matchlogs/2017-2018/defense/Samuel-Armenteros-Match-Logs
24,Kwadwo Asamoah,gh,DF,Juventus,28,1988,17.4,28,17,13,13,2,28,26,46.2,14,183,58,31.7,13,13,2,32,1,0,31,18,46,16,0,/en/players/089550f5/matchlogs/2017-2018/defense/Kwadwo-Asamoah-Match-Logs
25,Davide Astori,it,DF,Fiorentina,30,1987,25.0,54,32,35,19,0,54,29,51.7,14,234,86,36.8,35,19,0,40,16,0,24,49,103,141,1,/en/players/1522dab2/matchlogs/2017-2018/defense/Davide-Astori-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Felipe Avenatti,uy,"FW,MF",Bologna,24,1993,5.2,4,1,1,3,0,4,2,50.0,1,50,16,32.0,1,3,0,5,0,0,5,2,6,8,0,/en/players/23f9e9d3/matchlogs/2017-2018/defense/Felipe-Avenatti-Match-Logs
27,Khouma Babacar,sn,FW,Sassuolo,24,1993,8.3,11,10,2,3,6,11,5,40.0,3,172,49,28.5,2,3,6,10,1,0,9,6,17,3,0,/en/players/422ec08a/matchlogs/2017-2018/defense/Khouma-Babacar-Match-Logs
28,Khouma Babacar,sn,"FW,MF",Fiorentina,24,1993,5.0,3,1,2,0,1,3,8,25.0,6,76,19,25.0,2,0,1,3,0,0,3,2,5,5,0,/en/players/422ec08a/matchlogs/2017-2018/defense/Khouma-Babacar-Match-Logs
29,Milan Badelj,hr,MF,Fiorentina,28,1989,26.1,77,51,29,38,10,77,69,30.4,48,503,154,30.6,29,38,10,59,1,0,58,71,148,54,0,/en/players/e8c930bb/matchlogs/2017-2018/defense/Milan-Badelj-Match-Logs
30,Riad Bajić,ba,"FW,MF",Udinese,23,1994,0.9,0,0,0,0,0,0,0,,0,19,2,10.5,0,0,0,0,0,0,0,0,0,2,0,/en/players/49d399d5/matchlogs/2017-2018/defense/Riad-Bajic-Match-Logs
31,Andrija Balić,hr,MF,Udinese,19,1997,12.0,21,17,11,8,2,21,29,24.1,22,233,52,22.3,11,8,2,14,3,0,11,18,39,11,0,/en/players/9be4ee80/matchlogs/2017-2018/defense/Andrija-Balic-Match-Logs
32,Mattia Bani,it,DF,Chievo,23,1993,14.6,28,15,18,9,1,28,20,40.0,12,188,49,26.1,18,9,1,30,14,0,16,26,54,110,0,/en/players/0821331c/matchlogs/2017-2018/defense/Mattia-Bani-Match-Logs
33,Antonín Barák,cz,MF,Udinese,22,1994,30.1,57,31,26,21,10,57,63,30.2,44,678,166,24.5,26,21,10,42,1,0,41,21,78,31,0,/en/players/01efac19/matchlogs/2017-2018/defense/Antonin-Barak-Match-Logs
34,Andrea Barberis,it,MF,Crotone,23,1993,33.7,81,56,32,38,11,81,86,15.1,73,819,201,24.5,32,38,11,70,9,0,61,57,138,56,1,/en/players/32ebfe1e/matchlogs/2017-2018/defense/Andrea-Barberis-Match-Logs
35,Nicolò Barella,it,MF,Cagliari,20,1997,32.8,92,60,43,42,7,92,87,24.1,66,740,230,31.1,43,42,7,48,6,0,42,39,131,42,0,/en/players/6928979a/matchlogs/2017-2018/defense/Nicolo-Barella-Match-Logs
36,Antonio Barreca,it,"DF,MF",Torino,22,1995,5.2,9,4,5,3,1,9,7,57.1,3,73,18,24.7,5,3,1,13,0,0,13,3,12,6,0,/en/players/6a189491/matchlogs/2017-2018/defense/Antonio-Barreca-Match-Logs
37,Édgar Barreto,py,MF,Sampdoria,33,1984,21.8,61,33,20,29,12,61,86,30.2,60,451,135,29.9,20,29,12,50,3,0,47,21,82,23,0,/en/players/43a1bea5/matchlogs/2017-2018/defense/Edgar-Barreto-Match-Logs
38,Musa Barrow,gm,"FW,MF",Atalanta,18,1998,4.9,3,1,1,1,1,3,1,0.0,1,97,26,26.8,1,1,1,4,1,0,3,0,3,3,0,/en/players/e5bf73f3/matchlogs/2017-2018/defense/Musa-Barrow-Match-Logs
39,Andrea Barzagli,it,DF,Juventus,36,1981,16.1,25,19,16,9,0,25,14,50.0,7,134,44,32.8,16,9,0,22,7,0,15,14,39,52,1,/en/players/7c0000fd/matchlogs/2017-2018/defense/Andrea-Barzagli-Match-Logs
40,Daniele Baselli,it,MF,Torino,25,1992,28.0,61,39,29,27,5,61,55,36.4,35,563,152,27.0,29,27,5,37,4,0,33,57,118,44,1,/en/players/ea06dd97/matchlogs/2017-2018/defense/Daniele-Baselli-Match-Logs
41,Dušan Basta,rs,"DF,MF",Lazio,32,1984,8.6,7,4,5,1,1,7,13,23.1,10,97,32,33.0,5,1,1,18,3,1,15,14,21,7,0,/en/players/3b57f7f8/matchlogs/2017-2018/defense/Dusan-Basta-Match-Logs
42,Gil Bastião Dias,pt,"FW,MF",Fiorentina,20,1996,13.2,48,28,26,14,8,48,53,28.3,38,297,79,26.6,26,14,8,20,0,0,20,22,70,7,1,/en/players/e61bdd69/matchlogs/2017-2018/defense/Gil-Bastiao-Dias-Match-Logs
43,Samuel Bastien,be,"MF,FW",Chievo,20,1996,15.1,23,17,8,11,4,23,19,21.1,15,341,86,25.2,8,11,4,28,3,0,25,22,45,17,0,/en/players/ec30b9c8/matchlogs/2017-2018/defense/Samuel-Bastien-Match-Logs
44,Alessandro Bastoni,it,DF,Atalanta,18,1999,1.0,3,3,1,2,0,3,2,0.0,2,14,4,28.6,1,2,0,1,0,0,1,1,4,4,0,/en/players/75b86fb3/matchlogs/2017-2018/defense/Alessandro-Bastoni-Match-Logs
45,Bastos,ao,DF,Lazio,26,1991,15.6,39,24,24,13,2,39,30,56.7,13,157,59,37.6,24,13,2,28,8,0,20,24,63,50,0,/en/players/c01c66d9/matchlogs/2017-2018/defense/Bastos-Match-Logs
46,Enrico Bearzotti,it,"DF,FW",Hellas Verona,20,1996,4.6,4,1,3,0,1,4,5,20.0,4,38,8,21.1,3,0,1,5,2,0,3,4,8,22,0,/en/players/c67836b8/matchlogs/2017-2018/defense/Enrico-Bearzotti-Match-Logs
47,Valon Behrami,ch,MF,Udinese,32,1985,15.5,69,49,33,30,6,69,46,21.7,36,513,146,28.5,33,30,6,54,13,0,41,26,95,24,0,/en/players/d3d758d8/matchlogs/2017-2018/defense/Valon-Behrami-Match-Logs
48,Vid Belec,si,GK,Sampdoria,27,1990,2.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,0,0,0,0,0,0,0,1,0,/en/players/4f8ce0e1/matchlogs/2017-2018/defense/Vid-Belec-Match-Logs
49,Vid Belec,si,GK,Benevento,27,1990,12.4,0,0,0,0,0,0,0,,0,5,1,20.0,0,0,0,0,0,0,0,1,1,0,1,/en/players/4f8ce0e1/matchlogs/2017-2018/defense/Vid-Belec-Match-Logs
50,Andrea Belotti,it,FW,Torino,23,1993,29.8,33,24,11,13,9,33,35,11.4,31,505,132,26.1,11,13,9,18,1,0,17,7,40,20,0,/en/players/d705ba44/matchlogs/2017-2018/defense/Andrea-Belotti-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Ahmad Benali,ly,MF,Crotone,25,1992,9.0,26,19,10,13,3,26,25,20.0,20,254,62,24.4,10,13,3,17,1,0,16,7,33,13,0,/en/players/a128b07e/matchlogs/2017-2018/defense/Ahmad-Benali-Match-Logs
52,Marco Benassi,it,"MF,FW",Fiorentina,22,1994,30.9,58,39,17,24,17,58,78,30.8,54,527,181,34.3,17,24,17,61,6,0,55,32,90,30,0,/en/players/0000acda/matchlogs/2017-2018/defense/Marco-Benassi-Match-Logs
53,Medhi Benatia,ma,DF,Juventus,30,1987,19.5,31,24,20,9,2,31,19,42.1,11,146,60,41.1,20,9,2,23,11,0,12,43,74,88,0,/en/players/3b15ef2d/matchlogs/2017-2018/defense/Medhi-Benatia-Match-Logs
54,Rodrigo Bentancur,uy,MF,Juventus,20,1997,6.5,28,19,11,15,2,28,20,25.0,15,169,65,38.5,11,15,2,10,1,0,9,3,31,11,0,/en/players/3b8674e6/matchlogs/2017-2018/defense/Rodrigo-Bentancur-Match-Logs
55,Domenico Berardi,it,FW,Sassuolo,22,1994,25.5,30,21,7,15,8,30,55,18.2,45,595,135,22.7,7,15,8,26,0,0,26,16,46,14,1,/en/players/53a0e358/matchlogs/2017-2018/defense/Domenico-Berardi-Match-Logs
56,Álex Berenguer,es,FW,Torino,22,1995,11.6,22,12,6,10,6,22,20,40.0,12,294,82,27.9,6,10,6,26,2,0,24,12,34,8,0,/en/players/dc1c2fce/matchlogs/2017-2018/defense/Alex-Berenguer-Match-Logs
57,Bartosz Bereszyński,pl,DF,Sampdoria,25,1992,27.6,70,45,37,27,6,70,58,50.0,29,382,124,32.5,37,27,6,74,11,1,63,37,107,64,0,/en/players/61b3978f/matchlogs/2017-2018/defense/Bartosz-Bereszynski-Match-Logs
58,Etrit Berisha,al,GK,Atalanta,28,1989,31.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,0,0,0,0,0,2,2,2,2,/en/players/ee833569/matchlogs/2017-2018/defense/Etrit-Berisha-Match-Logs
59,Federico Bernardeschi,it,"FW,MF",Juventus,23,1994,9.4,14,10,7,4,3,14,9,55.6,4,134,30,22.4,7,4,3,19,0,0,19,12,26,11,1,/en/players/ee93c1a9/matchlogs/2017-2018/defense/Federico-Bernardeschi-Match-Logs
60,Andrea Bertolacci,it,MF,Genoa,26,1991,32.2,85,57,44,34,7,85,67,26.9,49,692,203,29.3,44,34,7,54,10,0,44,55,140,28,0,/en/players/c75b6a02/matchlogs/2017-2018/defense/Andrea-Bertolacci-Match-Logs
61,Daniel Bessa,it,"MF,FW",Hellas Verona,24,1993,15.4,22,18,7,13,2,22,26,30.8,18,384,87,22.7,7,13,2,20,2,0,18,15,37,6,0,/en/players/88895312/matchlogs/2017-2018/defense/Daniel-Bessa-Match-Logs
62,Daniel Bessa,it,MF,Genoa,24,1993,4.9,7,4,2,3,2,7,3,33.3,2,127,24,18.9,2,3,2,7,0,0,7,6,13,3,0,/en/players/88895312/matchlogs/2017-2018/defense/Daniel-Bessa-Match-Logs
63,Matteo Bianchetti,it,DF,Hellas Verona,24,1993,1.4,3,0,3,0,0,3,5,40.0,3,26,5,19.2,3,0,0,5,2,0,3,1,4,5,0,/en/players/b3a20f18/matchlogs/2017-2018/defense/Matteo-Bianchetti-Match-Logs
64,Lucas Biglia,ar,MF,Milan,31,1986,22.7,54,41,21,26,7,54,77,33.8,51,548,164,29.9,21,26,7,50,12,0,38,30,84,32,0,/en/players/5710a281/matchlogs/2017-2018/defense/Lucas-Biglia-Match-Logs
65,Jean-Claude Billong,fr,DF,Benevento,23,1993,3.3,10,7,6,4,0,10,12,50.0,6,42,14,33.3,6,4,0,8,3,0,5,6,16,15,0,/en/players/a3e1d20d/matchlogs/2017-2018/defense/Jean-Claude-Billong-Match-Logs
66,Davide Biondini,it,"MF,FW",Sassuolo,34,1983,2.3,3,3,2,1,0,3,5,0.0,5,63,14,22.2,2,1,0,2,0,0,2,2,5,2,0,/en/players/b4c3070a/matchlogs/2017-2018/defense/Davide-Biondini-Match-Logs
67,Cristiano Biraghi,it,DF,Fiorentina,24,1992,33.1,75,40,35,28,12,75,68,48.5,35,487,144,29.6,35,28,12,76,5,0,71,50,125,85,1,/en/players/9e1577aa/matchlogs/2017-2018/defense/Cristiano-Biraghi-Match-Logs
68,Davide Biraschi,it,DF,Genoa,23,1994,20.0,37,28,15,20,2,37,23,47.8,12,319,111,34.8,15,20,2,38,10,1,28,38,75,65,2,/en/players/64cd167d/matchlogs/2017-2018/defense/Davide-Biraschi-Match-Logs
69,Valter Birsa,si,"MF,FW",Chievo,30,1986,27.8,26,15,3,16,7,26,71,11.3,63,572,132,23.1,3,16,7,39,2,0,37,24,50,8,0,/en/players/455a2b79/matchlogs/2017-2018/defense/Valter-Birsa-Match-Logs
70,Albano Bizzarri,ar,GK,Udinese,39,1977,32.0,0,0,0,0,0,0,0,,0,5,2,40.0,0,0,0,0,0,0,0,2,2,0,0,/en/players/32b9b5fa/matchlogs/2017-2018/defense/Albano-Bizzarri-Match-Logs
71,Deian Boldor,ro,DF,Hellas Verona,22,1995,1.0,1,0,1,0,0,1,1,100.0,0,8,2,25.0,1,0,0,5,3,0,2,3,4,7,0,/en/players/9b7533de/matchlogs/2017-2018/defense/Deian-Boldor-Match-Logs
72,Giacomo Bonaventura,it,MF,Milan,27,1989,28.2,27,21,7,16,4,27,54,20.4,43,443,117,26.4,7,16,4,43,7,0,36,33,60,22,0,/en/players/d995ed27/matchlogs/2017-2018/defense/Giacomo-Bonaventura-Match-Logs
73,Federico Bonazzoli,it,FW,Sampdoria,20,1997,0.3,0,0,0,0,0,0,0,,0,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,/en/players/bf57eaab/matchlogs/2017-2018/defense/Federico-Bonazzoli-Match-Logs
74,Federico Bonazzoli,it,FW,SPAL,20,1997,2.0,3,2,0,3,0,3,3,33.3,2,42,9,21.4,0,3,0,2,0,0,2,0,3,2,0,/en/players/bf57eaab/matchlogs/2017-2018/defense/Federico-Bonazzoli-Match-Logs
75,Kevin Bonifazi,it,"DF,FW",Torino,21,1996,4.5,8,7,6,2,0,8,6,50.0,3,46,17,37.0,6,2,0,11,4,0,7,12,20,17,0,/en/players/fb77bfef/matchlogs/2017-2018/defense/Kevin-Bonifazi-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Leonardo Bonucci,it,DF,Milan,30,1987,34.3,28,16,17,9,2,28,21,33.3,14,152,51,33.6,17,9,2,55,30,0,25,47,75,129,1,/en/players/52ec54d0/matchlogs/2017-2018/defense/Leonardo-Bonucci-Match-Logs
77,Fabio Borini,it,"FW,DF",Milan,26,1991,17.9,29,14,13,11,5,29,37,32.4,25,281,68,24.2,13,11,5,38,6,0,32,17,46,22,0,/en/players/ef5b337e/matchlogs/2017-2018/defense/Fabio-Borini-Match-Logs
78,Marco Borriello,it,FW,SPAL,35,1982,8.6,4,2,3,0,1,4,4,0.0,4,112,28,25.0,3,0,1,6,1,0,5,3,7,4,1,/en/players/a889ffc7/matchlogs/2017-2018/defense/Marco-Borriello-Match-Logs
79,Lucas Boyé,ar,"FW,MF",Torino,21,1996,1.7,9,6,3,5,1,9,8,50.0,4,47,22,46.8,3,5,1,4,0,0,4,2,11,3,0,/en/players/d49f3e6b/matchlogs/2017-2018/defense/Lucas-Boye-Match-Logs
80,Enrico Brignola,it,"FW,MF",Benevento,18,1999,15.0,29,18,17,8,4,29,32,21.9,25,327,88,26.9,17,8,4,18,0,0,18,6,35,4,0,/en/players/d0643f8f/matchlogs/2017-2018/defense/Enrico-Brignola-Match-Logs
81,Alberto Brignoli,it,GK,Benevento,25,1991,12.5,0,0,0,0,0,0,1,0.0,1,2,1,50.0,0,0,0,0,0,0,0,0,0,2,2,/en/players/6989550f/matchlogs/2017-2018/defense/Alberto-Brignoli-Match-Logs
82,Petar Brlek,hr,MF,Genoa,23,1994,2.6,6,4,2,4,0,6,4,50.0,2,50,18,36.0,2,4,0,2,0,0,2,2,8,1,0,/en/players/4590c6e7/matchlogs/2017-2018/defense/Petar-Brlek-Match-Logs
83,Marcelo Brozović,hr,MF,Inter,24,1992,21.4,59,35,19,32,8,59,49,24.5,37,546,131,24.0,19,32,8,38,8,0,30,19,78,15,0,/en/players/33b8d077/matchlogs/2017-2018/defense/Marcelo-Brozovic-Match-Logs
84,Marcel Büchel,li,MF,Hellas Verona,26,1991,18.8,43,24,15,24,4,43,48,25.0,36,346,91,26.3,15,24,4,39,8,0,31,48,91,42,1,/en/players/2edeb221/matchlogs/2017-2018/defense/Marcel-Buchel-Match-Logs
85,Ante Budimir,hr,FW,Crotone,26,1991,17.6,25,15,2,16,7,25,25,16.0,21,532,137,25.8,2,16,7,17,4,0,13,6,31,28,0,/en/players/8f3565b3/matchlogs/2017-2018/defense/Ante-Budimir-Match-Logs
86,Gianluigi Buffon,it,GK,Juventus,39,1978,20.7,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,0,1,0,0,1,1,1,1,1,/en/players/e40d028b/matchlogs/2017-2018/defense/Gianluigi-Buffon-Match-Logs
87,Alessandro Buongiorno,it,DF,Torino,18,1999,0.1,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,0,0,0,0,0,0,0,1,0,/en/players/4ae67f27/matchlogs/2017-2018/defense/Alessandro-Buongiorno-Match-Logs
88,Nicolás Burdisso,ar,DF,Torino,36,1981,23.0,17,10,9,8,0,17,12,33.3,8,106,39,36.8,9,8,0,28,11,0,17,30,47,141,3,/en/players/9417f322/matchlogs/2017-2018/defense/Nicolas-Burdisso-Match-Logs
89,Leandro Cabrera,uy,DF,Crotone,26,1991,4.1,8,5,8,0,0,8,4,0.0,4,45,9,20.0,8,0,0,7,3,0,4,9,17,24,0,/en/players/69cbc8b6/matchlogs/2017-2018/defense/Leandro-Cabrera-Match-Logs
90,Fabrizio Cacciatore,it,DF,Chievo,30,1986,31.9,50,30,29,16,5,50,46,43.5,26,441,134,30.4,29,16,5,57,11,0,46,44,94,82,1,/en/players/00b0bb87/matchlogs/2017-2018/defense/Fabrizio-Cacciatore-Match-Logs
91,Martín Cáceres,uy,DF,Hellas Verona,30,1987,12.9,23,13,18,3,2,23,25,32.0,17,94,28,29.8,18,3,2,14,4,0,10,22,45,38,1,/en/players/e94d79e3/matchlogs/2017-2018/defense/Martin-Caceres-Match-Logs
92,Martín Cáceres,uy,DF,Lazio,30,1987,4.9,8,7,4,4,0,8,9,33.3,6,37,13,35.1,4,4,0,8,5,0,3,4,12,14,0,/en/players/e94d79e3/matchlogs/2017-2018/defense/Martin-Caceres-Match-Logs
93,Felipe Caicedo,ec,FW,Lazio,28,1988,8.0,10,6,2,7,1,10,8,25.0,6,169,43,25.4,2,7,1,4,0,0,4,1,11,4,0,/en/players/93b891d1/matchlogs/2017-2018/defense/Felipe-Caicedo-Match-Logs
94,Davide Calabria,it,DF,Milan,20,1996,17.4,66,38,40,17,9,66,52,40.4,31,321,96,29.9,40,17,9,39,5,1,34,31,97,49,0,/en/players/2146785a/matchlogs/2017-2018/defense/Davide-Calabria-Match-Logs
95,Mattia Caldara,it,DF,Atalanta,23,1994,24.0,47,24,20,24,3,47,28,28.6,20,299,96,32.1,20,24,3,40,19,0,21,44,91,130,0,/en/players/ac7e640b/matchlogs/2017-2018/defense/Mattia-Caldara-Match-Logs
96,Hakan Çalhanoğlu,tr,"FW,MF",Milan,23,1994,24.1,35,24,9,17,9,35,35,22.9,27,439,116,26.4,9,17,9,42,3,0,39,25,60,10,0,/en/players/cd0fa27b/matchlogs/2017-2018/defense/Hakan-Calhanoglu-Match-Logs
97,Fabrizio Caligara,it,MF,Cagliari,17,2000,0.2,0,0,0,0,0,0,0,,0,4,0,0.0,0,0,0,1,1,0,0,1,1,0,0,/en/players/22ca11f1/matchlogs/2017-2018/defense/Fabrizio-Caligara-Match-Logs
98,José Callejón,es,FW,Napoli,30,1987,36.0,35,27,16,12,7,35,64,14.1,55,726,171,23.6,16,12,7,44,6,0,38,19,54,27,0,/en/players/78841da9/matchlogs/2017-2018/defense/Jose-Callejon-Match-Logs
99,Simone Calvano,it,MF,Hellas Verona,24,1993,7.2,16,12,4,11,1,16,13,7.7,12,137,29,21.2,4,11,1,15,4,0,11,16,32,16,1,/en/players/9dabfcf5/matchlogs/2017-2018/defense/Simone-Calvano-Match-Logs
100,João Cancelo,pt,DF,Inter,23,1994,20.6,44,31,32,7,5,44,47,27.7,34,262,81,30.9,32,7,5,32,2,0,30,32,76,32,0,/en/players/bd6351cd/matchlogs/2017-2018/defense/Joao-Cancelo-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Antonio Candreva,it,FW,Inter,30,1987,28.2,20,13,9,9,2,20,43,27.9,31,385,94,24.4,9,9,2,33,3,0,30,24,44,10,0,/en/players/356c9002/matchlogs/2017-2018/defense/Antonio-Candreva-Match-Logs
102,Paolo Cannavaro,it,DF,Sassuolo,36,1981,16.0,21,12,12,8,1,21,21,42.9,12,108,32,29.6,12,8,1,27,15,0,12,28,49,89,0,/en/players/46ed55b6/matchlogs/2017-2018/defense/Paolo-Cannavaro-Match-Logs
103,Leonardo Capezzi,it,MF,Sampdoria,22,1995,2.4,8,6,5,3,0,8,8,37.5,5,52,22,42.3,5,3,0,5,1,0,4,2,10,0,0,/en/players/07ea0ef2/matchlogs/2017-2018/defense/Leonardo-Capezzi-Match-Logs
104,Elio Capradossi,it,DF,Roma,21,1996,0.9,2,1,2,0,0,2,0,,0,9,2,22.2,2,0,0,5,3,1,2,2,4,9,0,/en/players/174944a3/matchlogs/2017-2018/defense/Elio-Capradossi-Match-Logs
105,Gianluca Caprari,it,"FW,MF",Sampdoria,24,1993,20.1,21,13,2,9,10,21,20,20.0,16,348,92,26.4,2,9,10,25,2,0,23,8,29,3,0,/en/players/54e53b7e/matchlogs/2017-2018/defense/Gianluca-Caprari-Match-Logs
106,Marco Capuano,it,DF,Crotone,25,1991,15.6,22,11,15,7,0,22,15,33.3,10,118,32,27.1,15,7,0,25,14,0,11,29,51,99,0,/en/players/616aea37/matchlogs/2017-2018/defense/Marco-Capuano-Match-Logs
107,Marco Capuano,it,DF,Cagliari,25,1991,7.7,14,11,9,5,0,14,13,46.2,7,118,36,30.5,9,5,0,11,2,0,9,7,21,19,0,/en/players/616aea37/matchlogs/2017-2018/defense/Marco-Capuano-Match-Logs
