Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Matches
25,Mattia Perin,it,GK,Genoa,24,1992,37,37,"3,330",42,1.14,167,131,.772,11,8,18,12,32.4,4,4,0,0,/en/players/4c62d0c8/matchlogs/2017-2018/keeper/Mattia-Perin-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,
26,Carlo Pinsoglio,it,GK,Juventus,27,1990,1,0,28,1,3.21,2,1,.500,0,0,0,0,,0,0,0,0,/en/players/f6a06749/matchlogs/2017-2018/keeper/Carlo-Pinsoglio-Match-Logs
27,Christian Puggioni,it,GK,Sampdoria,36,1981,9,9,810,12,1.33,49,40,.816,5,2,2,5,55.6,3,3,0,0,/en/players/b39dfab0/matchlogs/2017-2018/keeper/Christian-Puggioni-Match-Logs
28,Christian Puggioni,it,GK,Benevento,36,1981,14,14,"1,179",26,1.98,59,37,.644,3,1,9,2,14.3,6,5,0,1,/en/players/b39dfab0/matchlogs/2017-2018/keeper/Christian-Puggioni-Match-Logs
29,Rafael,br,GK,Cagliari,35,1982,10,8,794,11,1.25,39,28,.744,4,2,3,1,12.5,1,1,0,0,/en/players/dd06d56c/matchlogs/2017-2018/keeper/Rafael-Match-Logs
30,Pepe Reina,es,GK,Napoli,34,1982,37,37,"3,330",29,0.78,98,70,.724,28,6,3,18,48.6,2,2,0,0,/en/players/e358587b/matchlogs/2017-2018/keeper/Pepe-Reina-Match-Logs
31,Francesco Rossi,it,GK,Atalanta,26,1991,1,0,8,1,11.25,2,1,.500,0,0,0,0,,0,0,0,0,/en/players/7b5f516f/matchlogs/2017-2018/keeper/Francesco-Rossi-Match-Logs
32,Antonio Santurro,it,GK,Bologna,25,1992,1,1,90,1,1.00,5,4,.800,0,1,0,0,0.0,0,0,0,0,/en/players/61228681/matchlogs/2017-2018/keeper/Antonio-Santurro-Match-Logs
33,Simone Scuffet,it,GK,Udinese,21,1996,6,6,540,11,1.83,26,16,.577,1,0,5,1,16.7,1,0,1,0,/en/players/41bd99ea/matchlogs/2017-2018/keeper/Simone-Scuffet-Match-Logs
34,Luigi Sepe,it,GK,Napoli,26,1991,1,1,90,0,0.00,1,1,1.000,0,1,0,1,100.0,0,0,0,0,/en/players/343f753a/matchlogs/2017-2018/keeper/Luigi-Sepe-Match-Logs
35,Marco Silvestri,it,GK,Hellas Verona,26,1991,2,2,180,7,3.50,25,18,.720,0,0,2,0,0.0,0,0,0,0,/en/players/0d422df7/matchlogs/2017-2018/keeper/Marco-Silvestri-Match-Logs
36,Salvatore Sirigu,it,GK,Torino,30,1987,37,37,"3,330",45,1.22,160,120,.750,12,15,10,10,27.0,8,5,3,0,/en/players/10dc46f0/matchlogs/2017-2018/keeper/Salvatore-Sirigu-Match-Logs
37,Łukasz Skorupski,pl,GK,Roma,26,1991,1,1,90,0,0.00,3,3,1.000,1,0,0,1,100.0,0,0,0,0,/en/players/ab4449d6/matchlogs/2017-2018/keeper/Lukasz-Skorupski-Match-Logs
38,Stefano Sorrentino,it,GK,Chievo,38,1979,38,38,"3,420",59,1.55,180,126,.694,10,10,18,7,18.4,8,4,3,1,/en/players/048877f5/matchlogs/2017-2018/keeper/Stefano-Sorrentino-Match-Logs
39,Marco Sportiello,it,GK,Fiorentina,25,1992,37,37,"3,202",38,1.07,134,95,.731,16,9,11,14,37.8,3,2,1,0,/en/players/ac4003af/matchlogs/2017-2018/keeper/Marco-Sportiello-Match-Logs
40,Thomas Strakosha,al,GK,Lazio,22,1995,38,38,"3,420",49,1.29,153,112,.739,21,9,8,11,28.9,11,9,1,1,/en/players/339fe0e8/matchlogs/2017-2018/keeper/Thomas-Strakosha-Match-Logs
41,Wojciech Szczęsny,pl,GK,Juventus,27,1990,17,17,"1,530",9,0.53,34,24,.735,13,3,1,11,64.7,0,0,0,0,/en/players/01b8a2b2/matchlogs/2017-2018/keeper/Wojciech-Szczesny-Match-Logs
42,Emiliano Viviano,it,GK,Sampdoria,31,1985,27,27,"2,430",43,1.59,129,89,.682,11,4,12,6,22.2,6,2,4,0,/en/players/03760df0/matchlogs/2017-2018/keeper/Emiliano-Viviano-Match-Logs
