Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
382,Radja Nainggolan,be,"MF,FW",Cagliari,31,1988,23.0,1448,44,209,809,547,42,1381,44,63,69.8,44,0,1091,7102,3282,1179,1044,88.5,44,48,/en/players/1f9328da/matchlogs/2019-2020/possession/Radja-Nainggolan-Match-Logs
383,Nahitan Nández,uy,"MF,DF",Cagliari,23,1995,32.2,1689,50,348,859,632,64,1611,52,80,65.0,56,1,1251,8298,4420,1414,1172,82.9,39,56,/en/players/95facda1/matchlogs/2019-2020/possession/Nahitan-Nandez-Match-Logs
384,Michel Ndary Adopo,fr,DF,Torino,19,2000,0.0,8,0,2,4,2,0,8,0,0,,0,0,5,11,6,5,4,80.0,0,1,/en/players/599d91d0/matchlogs/2019-2020/possession/Michel-Ndary-Adopo-Match-Logs
385,Emanuele Ndoj,al,MF,Brescia,22,1996,6.2,305,9,78,164,97,17,302,18,26,69.2,18,1,241,2064,1234,243,215,88.5,7,11,/en/players/482145e9/matchlogs/2019-2020/possession/Emanuele-Ndoj-Match-Logs
386,Ilija Nestorovski,mk,FW,Udinese,29,1990,13.9,540,16,47,285,222,62,518,9,16,56.3,11,0,320,1424,648,647,417,64.5,26,19,/en/players/b1236c63/matchlogs/2019-2020/possession/Ilija-Nestorovski-Match-Logs
387,Nicolas Nkoulou,cm,DF,Torino,29,1990,29.9,1512,265,973,573,19,14,1462,10,11,90.9,10,0,905,3943,1183,829,806,97.2,6,8,/en/players/93cf32a8/matchlogs/2019-2020/possession/Nicolas-Nkoulou-Match-Logs
388,Bram Nuytinck,nl,DF,Udinese,29,1990,24.7,1539,236,826,746,75,13,1500,3,6,50.0,4,0,992,5656,3380,1037,1018,98.2,2,1,/en/players/e33f36d5/matchlogs/2019-2020/possession/Bram-Nuytinck-Match-Logs
389,Pedro Obiang,gq,MF,Sassuolo,27,1992,18.6,1289,65,304,792,269,24,1256,19,23,82.6,20,0,895,3991,2012,994,930,93.6,12,12,/en/players/ba1e04b3/matchlogs/2019-2020/possession/Pedro-Obiang-Match-Logs
390,Stefano Okaka,it,FW,Udinese,29,1989,26.8,1013,33,91,562,432,135,984,44,74,59.5,48,1,746,5285,2722,1286,780,60.7,73,76,/en/players/601ef102/matchlogs/2019-2020/possession/Stefano-Okaka-Match-Logs
391,Christian Oliva,uy,MF,Cagliari,23,1996,5.2,292,22,97,176,35,2,283,1,2,50.0,1,0,189,1011,504,183,171,93.4,5,4,/en/players/d3b888e3/matchlogs/2019-2020/possession/Christian-Oliva-Match-Logs
392,Maximiliano Olivera,uy,DF,Fiorentina,27,1992,0.1,7,1,1,3,3,0,7,0,0,,0,0,3,14,2,3,3,100.0,0,0,/en/players/32a33c68/matchlogs/2019-2020/possession/Maximiliano-Olivera-Match-Logs
393,Marco Olivieri,it,FW,Juventus,20,1999,0.3,22,0,2,5,15,5,20,1,1,100.0,1,0,18,116,61,21,19,90.5,2,2,/en/players/f5ba8903/matchlogs/2019-2020/possession/Marco-Olivieri-Match-Logs
394,Robin Olsen,se,GK,Cagliari,29,1990,16.9,558,519,558,0,0,0,342,0,0,,0,0,207,936,555,174,174,100.0,0,0,/en/players/e7ee38c3/matchlogs/2019-2020/possession/Robin-Olsen-Match-Logs
395,Nicholas Opoku,gh,DF,Udinese,21,1997,5.3,,,,,,,,,,,,,,,,,,,,,/en/players/b871bf55/matchlogs/2019-2020/possession/Nicholas-Opoku-Match-Logs
396,Riccardo Orsolini,it,"FW,MF",Bologna,22,1997,29.8,1570,26,233,584,844,146,1439,72,135,53.3,83,4,1133,7386,4503,1418,1090,76.9,75,64,/en/players/e14ec482/matchlogs/2019-2020/possession/Riccardo-Orsolini-Match-Logs
397,David Ospina,co,GK,Napoli,30,1988,16.3,497,433,495,2,0,0,380,0,0,,0,0,258,1108,580,248,248,100.0,0,1,/en/players/82b1198a/matchlogs/2019-2020/possession/David-Ospina-Match-Logs
398,Daniele Padelli,it,GK,Inter,33,1985,3.0,97,92,97,0,0,0,69,0,0,,0,0,39,86,38,43,43,100.0,0,0,/en/players/cf1c23d8/matchlogs/2019-2020/possession/Daniele-Padelli-Match-Logs
399,Marko Pajač,hr,DF,Genoa,26,1993,8.4,538,35,155,215,204,20,460,8,14,57.1,9,0,368,2059,1193,372,342,91.9,8,9,/en/players/5df4ef30/matchlogs/2019-2020/possession/Marko-Pajac-Match-Logs
400,Rodrigo Palacio,ar,FW,Bologna,37,1982,28.0,1433,48,86,624,825,172,1360,40,77,51.9,41,1,1015,6873,3237,1667,1101,66.0,84,69,/en/players/8d8178ac/matchlogs/2019-2020/possession/Rodrigo-Palacio-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Alberto Paloschi,it,FW,SPAL,29,1990,4.9,116,1,10,61,52,22,108,4,5,80.0,4,0,75,452,213,163,78,47.9,14,8,/en/players/b5cae4e6/matchlogs/2019-2020/possession/Alberto-Paloschi-Match-Logs
402,Alberto Paloschi,it,"FW,MF",Cagliari,29,1990,2.3,66,2,8,29,30,9,64,2,5,40.0,4,1,43,194,76,91,48,52.7,13,2,/en/players/b5cae4e6/matchlogs/2019-2020/possession/Alberto-Paloschi-Match-Logs
403,Martin Palumbo,no,MF,Udinese,17,2002,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,/en/players/f8d41a8c/matchlogs/2019-2020/possession/Martin-Palumbo-Match-Logs
404,Goran Pandev,mk,"FW,MF",Genoa,36,1983,18.7,852,7,93,407,425,84,837,30,64,46.9,32,1,721,3888,2032,927,673,72.6,64,46,/en/players/d711d04f/matchlogs/2019-2020/possession/Goran-Pandev-Match-Logs
405,Andrea Papetti,it,DF,Brescia,17,2002,10.2,427,99,309,148,13,3,410,10,12,83.3,11,0,244,2214,1250,222,218,98.2,3,2,/en/players/4195b8b6/matchlogs/2019-2020/possession/Andrea-Papetti-Match-Logs
406,Lucas Paquetá,br,"MF,FW",Milan,21,1997,12.3,790,20,110,444,290,41,780,27,45,60.0,29,3,599,3522,1957,653,562,86.1,29,35,/en/players/9b6f7fd5/matchlogs/2019-2020/possession/Lucas-Paqueta-Match-Logs
