Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
20,Nicolò Armini,it,DF,Lazio,18,2001,0.0,2,2,100.0,26,6,2,2,100.0,2,2,100.0,2,2,100.0,0,0.0,0.0,0,0,0,0,0,/en/players/2f7407fa/matchlogs/2019-2020/passing/Nicolo-Armini-Match-Logs
21,Kwadwo Asamoah,gh,DF,Inter,30,1988,7.1,296,372,79.6,4997,1500,296,372,79.6,296,372,79.6,296,372,79.6,1,0.7,+0.3,11,17,3,2,41,/en/players/089550f5/matchlogs/2019-2020/passing/Kwadwo-Asamoah-Match-Logs
22,Kristoffer Askildsen,no,MF,Sampdoria,18,2001,0.8,30,35,85.7,515,118,30,35,85.7,30,35,85.7,30,35,85.7,0,0.1,-0.1,2,3,1,0,4,/en/players/a69cc629/matchlogs/2019-2020/passing/Kristoffer-Askildsen-Match-Logs
23,Emil Audero,it,GK,Sampdoria,22,1997,36.0,660,1037,63.6,21725,14133,660,1037,63.6,660,1037,63.6,660,1037,63.6,0,0.0,0.0,0,9,0,0,0,/en/players/649b01d8/matchlogs/2019-2020/passing/Emil-Audero-Match-Logs
24,Tommaso Augello,it,DF,Sampdoria,24,1994,12.6,635,825,77.0,10865,4894,635,825,77.0,635,825,77.0,635,825,77.0,2,1.5,+0.5,21,49,27,15,115,/en/players/3cd3b384/matchlogs/2019-2020/passing/Tommaso-Augello-Match-Logs
25,Florian Ayé,fr,"FW,MF",Brescia,22,1997,15.3,219,308,71.1,3020,555,219,308,71.1,219,308,71.1,219,308,71.1,0,0.5,-0.5,7,11,7,1,18,/en/players/718b8afd/matchlogs/2019-2020/passing/Florian-Aye-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Khouma Babacar,sn,FW,Lecce,26,1993,15.8,225,306,73.5,3297,539,225,306,73.5,225,306,73.5,225,306,73.5,0,0.7,-0.7,12,11,9,0,18,/en/players/422ec08a/matchlogs/2019-2020/passing/Khouma-Babacar-Match-Logs
27,Milan Badelj,hr,MF,Fiorentina,30,1989,17.6,786,963,81.6,15714,4258,786,963,81.6,786,963,81.6,786,963,81.6,0,1.0,-1.0,20,87,11,0,78,/en/players/e8c930bb/matchlogs/2019-2020/passing/Milan-Badelj-Match-Logs
28,Marco Ballarini,it,MF,Udinese,18,2001,0.0,5,5,100.0,106,35,5,5,100.0,5,5,100.0,5,5,100.0,0,0.0,0.0,0,0,0,0,0,/en/players/8cb494c9/matchlogs/2019-2020/passing/Marco-Ballarini-Match-Logs
29,Mario Balotelli,it,FW,Brescia,28,1990,15.6,238,368,64.7,4650,1132,238,368,64.7,238,368,64.7,238,368,64.7,0,0.4,-0.4,8,24,11,3,40,/en/players/8ff07990/matchlogs/2019-2020/passing/Mario-Balotelli-Match-Logs
30,Mattia Bani,it,DF,Bologna,25,1993,24.5,908,1109,81.9,21183,6913,908,1109,81.9,908,1109,81.9,908,1109,81.9,0,0.0,0.0,1,59,2,1,65,/en/players/0821331c/matchlogs/2019-2020/passing/Mattia-Bani-Match-Logs
31,Antonín Barák,cz,MF,Udinese,24,1994,2.2,76,104,73.1,1162,334,76,104,73.1,76,104,73.1,76,104,73.1,0,0.2,-0.2,4,4,3,0,15,/en/players/01efac19/matchlogs/2019-2020/passing/Antonin-Barak-Match-Logs
32,Antonín Barák,cz,MF,Lecce,24,1994,15.2,571,701,81.5,9723,2658,571,701,81.5,571,701,81.5,571,701,81.5,1,1.3,-0.3,16,55,14,4,64,/en/players/01efac19/matchlogs/2019-2020/passing/Antonin-Barak-Match-Logs
33,Nicolò Barella,it,MF,Inter,22,1997,22.4,1015,1237,82.1,19860,6008,1015,1237,82.1,1015,1237,82.1,1015,1237,82.1,4,1.6,+2.4,22,124,31,3,161,/en/players/6928979a/matchlogs/2019-2020/passing/Nicolo-Barella-Match-Logs
34,Antonino Barillà,it,MF,Parma,31,1988,18.8,402,521,77.2,7181,1906,402,521,77.2,402,521,77.2,402,521,77.2,2,2.1,-0.1,15,30,5,2,44,/en/players/a64cbd35/matchlogs/2019-2020/passing/Antonino-Barilla-Match-Logs
35,Antonio Barreca,it,"DF,MF",Genoa,24,1995,12.2,266,400,66.5,4975,2106,266,400,66.5,266,400,66.5,266,400,66.5,1,0.4,+0.6,5,11,10,5,59,/en/players/6a189491/matchlogs/2019-2020/passing/Antonio-Barreca-Match-Logs
36,Édgar Barreto,py,MF,Sampdoria,35,1984,1.0,28,33,84.8,532,105,28,33,84.8,28,33,84.8,28,33,84.8,0,0.0,0.0,0,4,0,0,3,/en/players/43a1bea5/matchlogs/2019-2020/passing/Edgar-Barreto-Match-Logs
37,Musa Barrow,gm,"FW,MF",Atalanta,20,1998,2.1,43,52,82.7,717,154,43,52,82.7,43,52,82.7,43,52,82.7,2,0.6,+1.4,3,2,2,0,4,/en/players/e5bf73f3/matchlogs/2019-2020/passing/Musa-Barrow-Match-Logs
38,Musa Barrow,gm,FW,Bologna,20,1998,15.0,431,598,72.1,7549,2130,431,598,72.1,431,598,72.1,431,598,72.1,2,3.2,-1.2,35,35,14,3,58,/en/players/e5bf73f3/matchlogs/2019-2020/passing/Musa-Barrow-Match-Logs
39,Daniele Baselli,it,MF,Torino,27,1992,14.2,584,724,80.7,11724,3008,584,724,80.7,584,724,80.7,584,724,80.7,2,1.0,+1.0,17,38,21,11,83,/en/players/ea06dd97/matchlogs/2019-2020/passing/Daniele-Baselli-Match-Logs
40,Alessandro Bastoni,it,DF,Inter,20,1999,21.3,1256,1428,88.0,26106,8051,1256,1428,88.0,1256,1428,88.0,1256,1428,88.0,0,1.6,-1.6,16,92,13,5,104,/en/players/75b86fb3/matchlogs/2019-2020/passing/Alessandro-Bastoni-Match-Logs
41,Bastos,ao,DF,Lazio,28,1991,8.5,378,416,90.9,7006,1907,378,416,90.9,378,416,90.9,378,416,90.9,0,0.0,0.0,0,21,1,0,16,/en/players/c01c66d9/matchlogs/2019-2020/passing/Bastos-Match-Logs
42,Rodrigo Becão,br,DF,Udinese,23,1996,24.6,899,1042,86.3,18662,6732,899,1042,86.3,899,1042,86.3,899,1042,86.3,1,0.3,+0.7,3,51,2,0,53,/en/players/19e4eab9/matchlogs/2019-2020/passing/Rodrigo-Becao-Match-Logs
43,Asmir Begović,ba,GK,Milan,32,1987,1.4,29,36,80.6,744,466,29,36,80.6,29,36,80.6,29,36,80.6,0,0.0,0.0,0,0,0,0,0,/en/players/7b4de647/matchlogs/2019-2020/passing/Asmir-Begovic-Match-Logs
44,Valon Behrami,ch,MF,Genoa,34,1985,12.3,369,440,83.9,6278,1579,369,440,83.9,369,440,83.9,369,440,83.9,0,0.0,0.0,0,30,7,1,31,/en/players/d3d758d8/matchlogs/2019-2020/passing/Valon-Behrami-Match-Logs
45,Raoul Bellanova,it,DF,Atalanta,19,2000,0.2,12,13,92.3,183,15,12,13,92.3,12,13,92.3,12,13,92.3,0,0.0,0.0,0,0,0,0,0,/en/players/e3756e72/matchlogs/2019-2020/passing/Raoul-Bellanova-Match-Logs
46,Andrea Belotti,it,FW,Torino,25,1993,33.4,502,750,66.9,7545,1723,502,750,66.9,502,750,66.9,502,750,66.9,3,4.1,-1.1,37,46,22,5,63,/en/players/d705ba44/matchlogs/2019-2020/passing/Andrea-Belotti-Match-Logs
47,Marco Benassi,it,MF,Fiorentina,24,1994,10.9,262,342,76.6,4465,1465,262,342,76.6,262,342,76.6,262,342,76.6,1,1.2,-0.2,18,23,10,6,43,/en/players/0000acda/matchlogs/2019-2020/passing/Marco-Benassi-Match-Logs
48,Ismaël Bennacer,dz,MF,Milan,21,1997,27.6,1585,1808,87.7,29381,8853,1585,1808,87.7,1585,1808,87.7,1585,1808,87.7,0,1.4,-1.4,28,168,29,2,185,/en/players/db092d3b/matchlogs/2019-2020/passing/Ismael-Bennacer-Match-Logs
49,Rodrigo Bentancur,uy,MF,Juventus,22,1997,24.4,1434,1640,87.4,25829,6571,1434,1640,87.4,1434,1640,87.4,1434,1640,87.4,7,3.7,+3.3,45,148,18,4,126,/en/players/3b8674e6/matchlogs/2019-2020/passing/Rodrigo-Bentancur-Match-Logs
50,Romario Benzar,ro,DF,Lecce,27,1992,1.1,50,69,72.5,806,477,50,69,72.5,50,69,72.5,50,69,72.5,0,0.1,-0.1,2,3,4,3,10,/en/players/2e3596d1/matchlogs/2019-2020/passing/Romario-Benzar-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Domenico Berardi,it,FW,Sassuolo,24,1994,27.7,879,1192,73.7,15862,4528,879,1192,73.7,879,1192,73.7,879,1192,73.7,10,7.1,+2.9,53,50,53,7,147,/en/players/53a0e358/matchlogs/2019-2020/passing/Domenico-Berardi-Match-Logs
52,Álex Berenguer,es,"MF,FW",Torino,24,1995,20.3,587,791,74.2,9679,2780,587,791,74.2,587,791,74.2,587,791,74.2,2,3.1,-1.1,32,38,28,4,91,/en/players/dc1c2fce/matchlogs/2019-2020/passing/Alex-Berenguer-Match-Logs
53,Bartosz Bereszyński,pl,DF,Sampdoria,27,1992,26.7,1040,1332,78.1,17589,7631,1040,1332,78.1,1040,1332,78.1,1040,1332,78.1,0,0.7,-0.7,10,74,18,10,160,/en/players/61b3978f/matchlogs/2019-2020/passing/Bartosz-Bereszynski-Match-Logs
54,Etrit Berisha,al,GK,SPAL,30,1989,26.0,623,884,70.5,20114,13785,623,884,70.5,623,884,70.5,623,884,70.5,0,0.1,-0.1,1,6,0,0,0,/en/players/ee833569/matchlogs/2019-2020/passing/Etrit-Berisha-Match-Logs
55,Valon Berisha,xk,"MF,FW",Lazio,26,1993,0.4,5,7,71.4,83,30,5,7,71.4,5,7,71.4,5,7,71.4,0,0.0,0.0,0,0,0,0,0,/en/players/d5575935/matchlogs/2019-2020/passing/Valon-Berisha-Match-Logs
56,Federico Bernardeschi,it,"MF,FW",Juventus,25,1994,17.5,561,685,81.9,9310,2237,561,685,81.9,561,685,81.9,561,685,81.9,1,3.4,-2.4,33,38,24,3,72,/en/players/ee93c1a9/matchlogs/2019-2020/passing/Federico-Bernardeschi-Match-Logs
57,Andrea Bertolacci,it,MF,Sampdoria,28,1991,5.9,205,255,80.4,3801,1053,205,255,80.4,205,255,80.4,205,255,80.4,0,0.1,-0.1,2,20,3,1,25,/en/players/c75b6a02/matchlogs/2019-2020/passing/Andrea-Bertolacci-Match-Logs
58,Lucas Biglia,ar,MF,Milan,33,1986,7.6,398,438,90.9,7458,2329,398,438,90.9,398,438,90.9,398,438,90.9,1,0.4,+0.6,7,39,3,0,40,/en/players/5710a281/matchlogs/2019-2020/passing/Lucas-Biglia-Match-Logs
59,Cristiano Biraghi,it,"DF,MF",Inter,26,1992,17.5,646,901,71.7,11791,4758,646,901,71.7,646,901,71.7,646,901,71.7,6,3.5,+2.5,33,31,32,22,127,/en/players/9e1577aa/matchlogs/2019-2020/passing/Cristiano-Biraghi-Match-Logs
60,Davide Biraschi,it,DF,Genoa,25,1994,21.9,895,1194,75.0,17315,7297,895,1194,75.0,895,1194,75.0,895,1194,75.0,1,0.5,+0.5,8,79,12,7,122,/en/players/64cd167d/matchlogs/2019-2020/passing/Davide-Biraschi-Match-Logs
61,Valter Birsa,si,MF,Cagliari,32,1986,4.8,270,330,81.8,5730,1522,270,330,81.8,270,330,81.8,270,330,81.8,0,0.4,-0.4,9,30,8,1,43,/en/players/455a2b79/matchlogs/2019-2020/passing/Valter-Birsa-Match-Logs
62,Dimitri Bisoli,it,MF,Brescia,25,1994,23.9,509,781,65.2,8283,3705,509,781,65.2,509,781,65.2,509,781,65.2,1,3.0,-2.0,23,60,29,6,111,/en/players/16569fef/matchlogs/2019-2020/passing/Dimitri-Bisoli-Match-Logs
63,Birkir Bjarnason,is,"MF,FW",Brescia,31,1988,8.9,205,268,76.5,3814,870,205,268,76.5,205,268,76.5,205,268,76.5,1,0.4,+0.6,4,20,3,1,22,/en/players/da13074e/matchlogs/2019-2020/passing/Birkir-Bjarnason-Match-Logs
64,Kevin-Prince Boateng,gh,FW,Fiorentina,32,1987,6.7,155,199,77.9,2710,369,155,199,77.9,155,199,77.9,155,199,77.9,0,0.3,-0.3,7,12,1,0,11,/en/players/f4ec4fd0/matchlogs/2019-2020/passing/Kevin-Prince-Boateng-Match-Logs
65,Salvatore Bocchetti,it,DF,Hellas Verona,32,1986,3.4,147,176,83.5,2720,1016,147,176,83.5,147,176,83.5,147,176,83.5,0,0.0,0.0,0,11,0,0,18,/en/players/faa1b07d/matchlogs/2019-2020/passing/Salvatore-Bocchetti-Match-Logs
66,Jeremie Boga,ci,FW,Sassuolo,22,1997,27.9,840,986,85.2,11218,1928,840,986,85.2,840,986,85.2,840,986,85.2,2,3.2,-1.2,34,22,27,1,51,/en/players/fe012aca/matchlogs/2019-2020/passing/Jeremie-Boga-Match-Logs
67,Giacomo Bonaventura,it,"MF,FW",Milan,29,1989,14.9,588,701,83.9,9030,1803,588,701,83.9,588,701,83.9,588,701,83.9,5,2.5,+2.5,27,33,23,1,47,/en/players/d995ed27/matchlogs/2019-2020/passing/Giacomo-Bonaventura-Match-Logs
68,Federico Bonazzoli,it,"FW,MF",Sampdoria,22,1997,8.3,146,209,69.9,2872,404,146,209,69.9,146,209,69.9,146,209,69.9,0,0.6,-0.6,9,9,5,0,12,/en/players/bf57eaab/matchlogs/2019-2020/passing/Federico-Bonazzoli-Match-Logs
69,Kevin Bonifazi,it,DF,SPAL,23,1996,13.2,575,670,85.8,11478,3769,575,670,85.8,575,670,85.8,575,670,85.8,0,0.0,0.0,0,24,0,0,28,/en/players/fb77bfef/matchlogs/2019-2020/passing/Kevin-Bonifazi-Match-Logs
70,Kevin Bonifazi,it,DF,Torino,23,1996,2.7,76,88,86.4,1761,606,76,88,86.4,76,88,86.4,76,88,86.4,0,0.0,0.0,1,6,0,0,2,/en/players/fb77bfef/matchlogs/2019-2020/passing/Kevin-Bonifazi-Match-Logs
71,Federico Bonini,it,DF,Bologna,17,2001,0.1,5,5,100.0,99,37,5,5,100.0,5,5,100.0,5,5,100.0,0,0.0,0.0,0,0,0,0,0,/en/players/f8f0744b/matchlogs/2019-2020/passing/Federico-Bonini-Match-Logs
72,Leonardo Bonucci,it,DF,Juventus,32,1987,34.2,1829,2087,87.6,42155,16571,1829,2087,87.6,1829,2087,87.6,1829,2087,87.6,0,0.9,-0.9,11,177,10,2,145,/en/players/52ec54d0/matchlogs/2019-2020/passing/Leonardo-Bonucci-Match-Logs
73,Fabio Borini,it,"MF,FW",Milan,28,1991,0.8,17,22,77.3,388,45,17,22,77.3,17,22,77.3,17,22,77.3,0,0.0,0.0,0,1,0,0,0,/en/players/ef5b337e/matchlogs/2019-2020/passing/Fabio-Borini-Match-Logs
74,Fabio Borini,it,"FW,MF",Hellas Verona,28,1991,9.0,181,263,68.8,3091,781,181,263,68.8,181,263,68.8,181,263,68.8,0,0.5,-0.5,7,8,6,0,21,/en/players/ef5b337e/matchlogs/2019-2020/passing/Fabio-Borini-Match-Logs
75,Mehdi Bourabia,ma,MF,Sassuolo,27,1991,10.3,658,758,86.8,11293,2867,658,758,86.8,658,758,86.8,658,758,86.8,2,0.6,+1.4,8,58,10,0,61,/en/players/0d077b88/matchlogs/2019-2020/passing/Mehdi-Bourabia-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Federico Brancolini,it,GK,Fiorentina,18,2001,0.1,3,3,100.0,122,96,3,3,100.0,3,3,100.0,3,3,100.0,0,0.0,0.0,0,0,0,0,0,/en/players/d4890c25/matchlogs/2019-2020/passing/Federico-Brancolini-Match-Logs
77,Gleison Bremer,br,DF,Torino,22,1997,25.2,921,1125,81.9,19770,5946,921,1125,81.9,921,1125,81.9,921,1125,81.9,1,0.2,+0.8,3,35,4,0,52,/en/players/5fd5ed86/matchlogs/2019-2020/passing/Gleison-Bremer-Match-Logs
78,Marco Brescianini,it,MF,Milan,19,2000,0.3,23,23,100.0,414,65,23,23,100.0,23,23,100.0,23,23,100.0,0,0.0,0.0,0,2,0,0,1,/en/players/dfd56738/matchlogs/2019-2020/passing/Marco-Brescianini-Match-Logs
79,Marcelo Brozović,hr,MF,Inter,26,1992,30.0,1905,2159,88.2,40559,9543,1905,2159,88.2,1905,2159,88.2,1905,2159,88.2,6,2.8,+3.2,39,193,39,3,212,/en/players/33b8d077/matchlogs/2019-2020/passing/Marcelo-Brozovic-Match-Logs
80,Gastón Brugman,uy,MF,Parma,26,1992,16.2,567,678,83.6,12319,3408,567,678,83.6,567,678,83.6,567,678,83.6,2,1.0,+1.0,12,59,11,2,65,/en/players/e947ee4a/matchlogs/2019-2020/passing/Gaston-Brugman-Match-Logs
81,Gianluigi Buffon,it,GK,Juventus,41,1978,9.0,195,212,92.0,4527,2506,195,212,92.0,195,212,92.0,195,212,92.0,0,0.2,-0.2,1,1,0,0,0,/en/players/e40d028b/matchlogs/2019-2020/passing/Gianluigi-Buffon-Match-Logs
82,Fabrizio Cacciatore,it,DF,Cagliari,32,1986,12.8,557,705,79.0,11570,5365,557,705,79.0,557,705,79.0,557,705,79.0,0,0.5,-0.5,5,42,7,4,94,/en/players/00b0bb87/matchlogs/2019-2020/passing/Fabrizio-Cacciatore-Match-Logs
83,Martín Cáceres,uy,DF,Fiorentina,32,1987,26.2,1098,1306,84.1,22541,8225,1098,1306,84.1,1098,1306,84.1,1098,1306,84.1,0,0.5,-0.5,13,85,6,4,95,/en/players/e94d79e3/matchlogs/2019-2020/passing/Martin-Caceres-Match-Logs
84,Felipe Caicedo,ec,FW,Lazio,30,1988,15.6,321,404,79.5,4173,786,321,404,79.5,321,404,79.5,321,404,79.5,2,2.7,-0.7,22,20,9,0,26,/en/players/93b891d1/matchlogs/2019-2020/passing/Felipe-Caicedo-Match-Logs
85,Davide Calabria,it,DF,Milan,22,1996,18.0,945,1169,80.8,18603,7475,945,1169,80.8,945,1169,80.8,945,1169,80.8,1,0.7,+0.3,13,99,20,9,165,/en/players/2146785a/matchlogs/2019-2020/passing/Davide-Calabria-Match-Logs
86,Riccardo Calafiori,it,DF,Roma,17,2002,0.7,10,14,71.4,186,53,10,14,71.4,10,14,71.4,10,14,71.4,0,0.0,0.0,0,0,0,0,0,/en/players/aded8e6f/matchlogs/2019-2020/passing/Riccardo-Calafiori-Match-Logs
87,Mattia Caldara,it,DF,Atalanta,25,1994,10.7,381,424,89.9,7708,1584,381,424,89.9,381,424,89.9,381,424,89.9,1,0.4,+0.6,1,12,0,0,15,/en/players/ac7e640b/matchlogs/2019-2020/passing/Mattia-Caldara-Match-Logs
88,Marco Calderoni,it,DF,Lecce,30,1989,22.9,829,1122,73.9,15879,6224,829,1122,73.9,829,1122,73.9,829,1122,73.9,2,2.1,-0.1,21,41,33,19,128,/en/players/652811aa/matchlogs/2019-2020/passing/Marco-Calderoni-Match-Logs
89,Hakan Çalhanoğlu,tr,"MF,FW",Milan,25,1994,30.0,1289,1649,78.2,23541,6107,1289,1649,78.2,1289,1649,78.2,1289,1649,78.2,9,7.0,+2.0,66,107,49,8,169,/en/players/cd0fa27b/matchlogs/2019-2020/passing/Hakan-Calhanoglu-Match-Logs
90,José Callejón,es,"FW,MF",Napoli,32,1987,24.1,993,1246,79.7,17855,4520,993,1246,79.7,993,1246,79.7,993,1246,79.7,7,6.4,+0.6,65,64,41,19,138,/en/players/78841da9/matchlogs/2019-2020/passing/Jose-Callejon-Match-Logs
91,Emre Can,de,MF,Juventus,25,1994,3.2,142,164,86.6,2309,489,142,164,86.6,142,164,86.6,142,164,86.6,0,0.6,-0.6,5,12,2,0,12,/en/players/a65ce836/matchlogs/2019-2020/passing/Emre-Can-Match-Logs
92,Antonio Candreva,it,DF,Inter,32,1987,22.1,1053,1371,76.8,21218,7319,1053,1371,76.8,1053,1371,76.8,1053,1371,76.8,7,5.6,+1.4,47,65,61,25,191,/en/players/356c9002/matchlogs/2019-2020/passing/Antonio-Candreva-Match-Logs
93,Gianmarco Cangiano,it,"FW,MF",Bologna,17,2001,0.2,9,12,75.0,192,21,9,12,75.0,9,12,75.0,9,12,75.0,0,0.0,0.0,0,1,0,0,1,/en/players/a36084cd/matchlogs/2019-2020/passing/Gianmarco-Cangiano-Match-Logs
94,Gianluca Caprari,it,"FW,MF",Parma,26,1993,6.5,169,212,79.7,2727,627,169,212,79.7,169,212,79.7,169,212,79.7,0,1.4,-1.4,15,11,6,0,18,/en/players/54e53b7e/matchlogs/2019-2020/passing/Gianluca-Caprari-Match-Logs
95,Gianluca Caprari,it,"FW,MF",Sampdoria,26,1993,7.4,189,256,73.8,2996,689,189,256,73.8,189,256,73.8,189,256,73.8,0,0.5,-0.5,8,18,13,3,24,/en/players/54e53b7e/matchlogs/2019-2020/passing/Gianluca-Caprari-Match-Logs
96,Francesco Caputo,it,FW,Sassuolo,31,1987,32.6,636,813,78.2,8701,991,636,813,78.2,636,813,78.2,636,813,78.2,7,6.0,+1.0,50,21,20,2,37,/en/players/5bd72174/matchlogs/2019-2020/passing/Francesco-Caputo-Match-Logs
97,Andrea Carboni,it,"DF,MF",Cagliari,18,2001,4.1,134,163,82.2,2875,1150,134,163,82.2,134,163,82.2,134,163,82.2,0,0.0,0.0,0,15,1,0,12,/en/players/f7e2af2c/matchlogs/2019-2020/passing/Andrea-Carboni-Match-Logs
98,Francesco Cassata,it,MF,Genoa,22,1997,16.2,511,653,78.3,8675,2388,511,653,78.3,511,653,78.3,511,653,78.3,0,1.4,-1.4,10,28,18,4,60,/en/players/96960855/matchlogs/2019-2020/passing/Francesco-Cassata-Match-Logs
99,Timothy Castagne,be,DF,Atalanta,23,1995,19.7,952,1133,84.0,14493,5040,952,1133,84.0,952,1133,84.0,952,1133,84.0,2,2.5,-0.5,25,43,26,12,115,/en/players/197640fd/matchlogs/2019-2020/passing/Timothy-Castagne-Match-Logs
100,Samu Castillejo,es,"FW,MF",Milan,24,1995,13.4,422,560,75.4,6955,2006,422,560,75.4,422,560,75.4,422,560,75.4,3,3.0,0.0,41,25,22,5,58,/en/players/130a7a3f/matchlogs/2019-2020/passing/Samu-Castillejo-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
