Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
13,Sofyan Amrabat,ma,MF,Hellas Verona,22,1996,32.4,1738,1651,87,77,5,294,72,23,0,0,0,0,1291,224,223,126,1517,59,10,10,1525,10,0,20,15,/en/players/5a2cb25d/matchlogs/2019-2020/passing_types/Sofyan-Amrabat-Match-Logs
14,Djavan Anderson,nl,"DF,MF",Lazio,24,1995,1.9,68,49,19,3,0,5,1,2,0,0,0,0,44,14,10,7,42,2,16,0,58,0,0,1,2,/en/players/ca241ad3/matchlogs/2019-2020/passing_types/Djavan-Anderson-Match-Logs
15,Lorenzo Andrenacci,it,GK,Brescia,24,1995,5.9,163,79,84,18,0,0,4,0,0,0,0,0,78,18,67,3,112,0,0,45,128,0,0,0,0,/en/players/fe471a89/matchlogs/2019-2020/passing_types/Lorenzo-Andrenacci-Match-Logs
16,Peter Ankersen,dk,DF,Genoa,28,1990,11.8,607,532,75,7,0,99,4,22,0,0,0,0,408,96,103,70,444,17,68,2,501,1,0,12,19,/en/players/df525574/matchlogs/2019-2020/passing_types/Peter-Ankersen-Match-Logs
17,Cristian Ansaldi,ar,"DF,MF",Torino,32,1986,19.6,825,670,155,18,0,135,78,142,8,1,2,1,344,159,322,275,393,16,129,2,582,2,2,11,35,/en/players/bbafc0c4/matchlogs/2019-2020/passing_types/Cristian-Ansaldi-Match-Logs
18,Mirko Antonucci,it,"FW,MF",Roma,20,1999,0.9,22,22,0,0,0,2,0,0,0,0,0,0,16,3,3,3,18,0,0,1,17,0,0,3,0,/en/players/91976866/matchlogs/2019-2020/passing_types/Mirko-Antonucci-Match-Logs
19,Guilherme Arana,br,DF,Atalanta,22,1997,0.9,54,44,10,2,0,8,2,4,0,0,0,0,37,12,5,38,8,0,8,0,42,0,0,1,5,/en/players/2b15a82a/matchlogs/2019-2020/passing_types/Guilherme-Arana-Match-Logs
20,Nicolò Armini,it,DF,Lazio,18,2001,0.0,2,2,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,/en/players/2f7407fa/matchlogs/2019-2020/passing_types/Nicolo-Armini-Match-Logs
21,Kwadwo Asamoah,gh,DF,Inter,30,1988,7.1,372,330,42,1,0,53,1,18,0,0,0,0,236,74,62,277,42,9,41,2,296,0,0,6,19,/en/players/089550f5/matchlogs/2019-2020/passing_types/Kwadwo-Asamoah-Match-Logs
22,Kristoffer Askildsen,no,MF,Sampdoria,18,2001,0.8,35,35,0,0,0,3,1,0,0,0,0,0,26,2,7,10,25,0,0,0,30,0,0,0,0,/en/players/a69cc629/matchlogs/2019-2020/passing_types/Kristoffer-Askildsen-Match-Logs
23,Emil Audero,it,GK,Sampdoria,22,1997,36.0,1037,630,407,118,0,69,21,0,0,0,0,0,400,72,565,97,755,1,0,130,660,6,0,2,1,/en/players/649b01d8/matchlogs/2019-2020/passing_types/Emil-Audero-Match-Logs
