player,nation,position,squad,age,born,matches_played,startsminutes,goals,assists,penalties,penalties_scored,yellow_cards,red_cards,goals_per_90,assists_per_90,goals_and_assists_per_90,goals_minus_pens_per_90,goals_plus_assists_minus_pens_per_90,xG,npxG,xA,xG90,xA90,xG_plus_xA_90,npxG90,npxG_plus_xA90
Daniele Baselli,it,MF,Torino,27,1992,16,,0,2,0,0,3,0,0.00,0.14,0.14,0.00,0.14,0.7,0.7,1.0,0.05,0.07,0.12,0.05,0.12
Alessandro Bastoni,it,DF,Inter,20,1999,25,,2,0,0,0,9,1,0.09,0.00,0.09,0.09,0.09,1.2,1.2,1.6,0.06,0.07,0.13,0.06,0.13
Bastos,ao,DF,Lazio,28,1991,16,,1,0,0,0,4,0,0.12,0.00,0.12,0.12,0.12,0.8,0.8,0.0,0.09,0.00,0.09,0.09,0.09
Rodrigo Becão,br,DF,Udinese,23,1996,29,,1,1,0,0,8,0,0.04,0.04,0.08,0.04,0.08,0.5,0.5,0.3,0.02,0.01,0.04,0.02,0.04
Asmir Begović,ba,GK,Milan,32,1987,2,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Valon Behrami,ch,MF,Genoa,34,1985,17,,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.02,0.00,0.02,0.02,0.02
Raoul Bellanova,it,DF,Atalanta,19,2000,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.43,0.00,0.43,0.43,0.43
Andrea Belotti,it,FW,Torino,25,1993,36,,16,3,7,8,4,0,0.48,0.09,0.57,0.27,0.36,16.8,10.9,4.1,0.50,0.12,0.63,0.33,0.45
Marco Benassi,it,MF,Fiorentina,24,1994,18,,1,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,1.0,1.0,1.2,0.09,0.11,0.20,0.09,0.20
Ismaël Bennacer,dz,MF,Milan,21,1997,31,,1,0,0,0,14,0,0.04,0.00,0.04,0.04,0.04,0.9,0.9,1.4,0.03,0.05,0.08,0.03,0.08
Rodrigo Bentancur,uy,MF,Juventus,22,1997,30,,0,7,0,0,9,0,0.00,0.29,0.29,0.00,0.29,0.7,0.7,3.7,0.03,0.15,0.18,0.03,0.18
Romario Benzar,ro,DF,Lecce,27,1992,3,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.10,0.10,0.00,0.10
Domenico Berardi,it,FW,Sassuolo,24,1994,31,,14,10,2,3,6,1,0.51,0.36,0.87,0.43,0.79,10.0,7.8,7.1,0.36,0.25,0.62,0.28,0.54
Álex Berenguer,es,"MF,FW",Torino,24,1995,29,,6,2,0,0,4,0,0.30,0.10,0.39,0.30,0.39,4.3,4.3,3.1,0.21,0.15,0.36,0.21,0.36
Bartosz Bereszyński,pl,DF,Sampdoria,27,1992,28,,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.7,0.02,0.02,0.04,0.02,0.04
Etrit Berisha,al,GK,SPAL,30,1989,26,,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00
Valon Berisha,xk,"MF,FW",Lazio,26,1993,3,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Federico Bernardeschi,it,"MF,FW",Juventus,25,1994,29,,1,1,0,0,6,0,0.06,0.06,0.11,0.06,0.11,4.7,4.7,3.4,0.27,0.19,0.46,0.27,0.46
Andrea Bertolacci,it,MF,Sampdoria,28,1991,12,,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.02,0.02,0.04,0.02,0.04
Lucas Biglia,ar,MF,Milan,33,1986,14,,0,1,0,0,4,0,0.00,0.13,0.13,0.00,0.13,0.2,0.2,0.4,0.03,0.05,0.08,0.03,0.08
Cristiano Biraghi,it,"DF,MF",Inter,26,1992,26,,2,6,0,0,3,0,0.11,0.34,0.46,0.11,0.46,0.9,0.9,3.5,0.05,0.20,0.25,0.05,0.25
Davide Biraschi,it,DF,Genoa,25,1994,24,,0,1,0,0,3,1,0.00,0.05,0.05,0.00,0.05,0.3,0.3,0.5,0.01,0.02,0.04,0.01,0.04
Valter Birsa,si,MF,Cagliari,32,1986,13,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.01,0.09,0.10,0.01,0.10
Dimitri Bisoli,it,MF,Brescia,25,1994,25,,1,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,2.4,2.4,3.0,0.10,0.12,0.22,0.10,0.22
Birkir Bjarnason,is,"MF,FW",Brescia,31,1988,13,,0,1,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.7,0.7,0.4,0.07,0.05,0.12,0.07,0.12
Kevin-Prince Boateng,gh,FW,Fiorentina,32,1987,14,,1,0,0,0,2,0,0.15,0.00,0.15,0.15,0.15,1.7,1.7,0.3,0.26,0.04,0.30,0.26,0.30
Salvatore Bocchetti,it,DF,Hellas Verona,32,1986,5,,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Jeremie Boga,ci,FW,Sassuolo,22,1997,34,,11,2,0,0,0,0,0.39,0.07,0.47,0.39,0.47,4.8,4.8,3.2,0.17,0.11,0.29,0.17,0.29
Giacomo Bonaventura,it,"MF,FW",Milan,29,1989,29,,3,5,0,0,2,0,0.20,0.34,0.54,0.20,0.54,3.7,3.7,2.5,0.25,0.17,0.42,0.25,0.42
Federico Bonazzoli,it,"FW,MF",Sampdoria,22,1997,19,,6,0,0,0,1,0,0.73,0.00,0.73,0.73,0.73,4.1,4.1,0.6,0.49,0.07,0.57,0.49,0.57
Kevin Bonifazi,it,DF,SPAL,23,1996,14,,1,0,0,0,2,1,0.08,0.00,0.08,0.08,0.08,1.1,1.1,0.0,0.08,0.00,0.08,0.08,0.08
Kevin Bonifazi,it,DF,Torino,23,1996,3,,1,0,0,0,0,0,0.36,0.00,0.36,0.36,0.36,0.2,0.2,0.0,0.06,0.01,0.06,0.06,0.06
Federico Bonini,it,DF,Bologna,17,2001,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Leonardo Bonucci,it,DF,Juventus,32,1987,35,,3,0,0,0,10,0,0.09,0.00,0.09,0.09,0.09,3.1,3.1,0.9,0.09,0.03,0.12,0.09,0.12
Fabio Borini,it,"MF,FW",Milan,28,1991,2,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.09,0.00,0.09,0.09,0.09
Fabio Borini,it,"FW,MF",Hellas Verona,28,1991,14,,3,0,1,1,1,1,0.33,0.00,0.33,0.22,0.22,2.9,2.1,0.5,0.32,0.05,0.37,0.24,0.29
Mehdi Bourabia,ma,MF,Sassuolo,27,1991,17,,1,2,0,0,7,1,0.10,0.19,0.29,0.10,0.29,0.3,0.3,0.6,0.03,0.06,0.09,0.03,0.09
Federico Brancolini,it,GK,Fiorentina,18,2001,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Gleison Bremer,br,DF,Torino,22,1997,27,,3,1,0,0,6,2,0.12,0.04,0.16,0.12,0.16,1.3,1.3,0.2,0.05,0.01,0.06,0.05,0.06
Marco Brescianini,it,MF,Milan,19,2000,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Marcelo Brozović,hr,MF,Inter,26,1992,32,,3,6,0,0,9,0,0.10,0.20,0.30,0.10,0.30,3.3,3.3,2.8,0.11,0.09,0.20,0.11,0.20
Gastón Brugman,uy,MF,Parma,26,1992,23,,0,2,0,0,5,0,0.00,0.12,0.12,0.00,0.12,0.2,0.2,1.0,0.02,0.06,0.08,0.02,0.08
Gianluigi Buffon,it,GK,Juventus,41,1978,9,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.03,0.03,0.00,0.03
Fabrizio Cacciatore,it,DF,Cagliari,32,1986,16,,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.03,0.04,0.06,0.03,0.06
Martín Cáceres,uy,DF,Fiorentina,32,1987,27,,1,0,0,0,10,1,0.04,0.00,0.04,0.04,0.04,2.0,2.0,0.5,0.07,0.02,0.09,0.07,0.09
Felipe Caicedo,ec,FW,Lazio,30,1988,30,,9,2,0,1,7,0,0.58,0.13,0.70,0.58,0.70,6.0,5.2,2.7,0.38,0.18,0.56,0.33,0.51
Davide Calabria,it,DF,Milan,22,1996,25,,1,1,0,0,4,2,0.06,0.06,0.11,0.06,0.11,0.6,0.6,0.7,0.03,0.04,0.07,0.03,0.07
Riccardo Calafiori,it,DF,Roma,17,2002,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Mattia Caldara,it,DF,Atalanta,25,1994,14,,0,1,0,0,1,0,0.00,0.09,0.09,0.00,0.09,0.3,0.3,0.4,0.03,0.04,0.06,0.03,0.06
Marco Calderoni,it,DF,Lecce,30,1989,26,,3,2,0,0,7,0,0.13,0.09,0.22,0.13,0.22,0.7,0.7,2.1,0.03,0.09,0.12,0.03,0.12
Hakan Çalhanoğlu,tr,"MF,FW",Milan,25,1994,35,,9,9,1,1,6,0,0.30,0.30,0.60,0.27,0.57,8.1,7.4,7.0,0.27,0.23,0.50,0.25,0.48
José Callejón,es,"FW,MF",Napoli,32,1987,33,,4,7,0,0,2,0,0.17,0.29,0.46,0.17,0.46,5.1,5.1,6.4,0.21,0.27,0.48,0.21,0.48
Emre Can,de,MF,Juventus,25,1994,8,,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.6,0.41,0.18,0.59,0.41,0.59
Antonio Candreva,it,DF,Inter,32,1987,32,,5,7,0,0,5,0,0.23,0.32,0.54,0.23,0.54,2.4,2.4,5.6,0.11,0.25,0.36,0.11,0.36
Gianmarco Cangiano,it,"FW,MF",Bologna,17,2001,3,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Gianluca Caprari,it,"FW,MF",Parma,26,1993,12,,2,0,1,1,1,0,0.31,0.00,0.31,0.15,0.15,2.5,1.7,1.4,0.38,0.22,0.60,0.26,0.48
Gianluca Caprari,it,"FW,MF",Sampdoria,26,1993,18,,3,0,0,0,4,1,0.40,0.00,0.40,0.40,0.40,1.9,1.9,0.5,0.26,0.06,0.32,0.26,0.32
Francesco Caputo,it,FW,Sassuolo,31,1987,36,,21,7,2,2,3,0,0.64,0.21,0.86,0.58,0.80,15.6,14.1,6.0,0.48,0.19,0.67,0.43,0.62
Andrea Carboni,it,"DF,MF",Cagliari,18,2001,7,,0,0,0,0,5,2,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01
Francesco Cassata,it,MF,Genoa,22,1997,24,,2,0,0,0,11,2,0.12,0.00,0.12,0.12,0.12,1.3,1.3,1.4,0.08,0.09,0.17,0.08,0.17
Timothy Castagne,be,DF,Atalanta,23,1995,27,,1,2,0,0,4,0,0.05,0.10,0.15,0.05,0.15,1.6,1.6,2.5,0.08,0.13,0.21,0.08,0.21
Samu Castillejo,es,"FW,MF",Milan,24,1995,22,,2,3,0,0,3,1,0.15,0.22,0.37,0.15,0.37,3.2,3.2,3.0,0.24,0.22,0.46,0.24,0.46
Lucas Castro,ar,MF,Cagliari,30,1989,15,,2,0,0,0,2,0,0.30,0.00,0.30,0.30,0.30,0.8,0.8,0.5,0.12,0.07,0.19,0.12,0.19
Lucas Castro,ar,MF,SPAL,30,1989,7,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.3,0.13,0.06,0.19,0.13,0.19
Gaetano Castrovilli,it,MF,Fiorentina,22,1997,33,,3,2,0,0,10,0,0.10,0.07,0.17,0.10,0.17,3.0,3.0,2.7,0.10,0.09,0.19,0.10,0.19
Danilo Cataldi,it,MF,Lazio,24,1994,21,,1,0,0,0,3,0,0.15,0.00,0.15,0.15,0.15,0.5,0.5,0.6,0.08,0.08,0.16,0.08,0.16
Federico Ceccherini,it,DF,Fiorentina,27,1992,15,,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.02,0.00,0.03,0.02,0.03
Christian Celesia,it,DF,Torino,17,2002,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,16.25,16.25,0.00,16.25
Luca Ceppitelli,it,DF,Cagliari,29,1989,16,,2,0,0,0,5,0,0.14,0.00,0.14,0.14,0.14,0.4,0.4,0.1,0.03,0.01,0.04,0.03,0.04
Alberto Cerri,it,FW,SPAL,23,1996,8,,1,0,0,0,1,0,0.21,0.00,0.21,0.21,0.21,1.2,1.2,0.8,0.25,0.17,0.42,0.25,0.42
Alberto Cerri,it,FW,Cagliari,23,1996,11,,1,0,0,0,1,0,0.37,0.00,0.37,0.37,0.37,0.6,0.6,0.2,0.22,0.06,0.27,0.22,0.27
Julian Chabot,de,DF,Sampdoria,21,1998,8,,1,0,0,0,1,1,0.16,0.00,0.16,0.16,0.16,0.1,0.1,0.0,0.01,0.00,0.01,0.01,0.01
Jhon Chancellor,ve,DF,Brescia,27,1992,26,,3,0,0,0,3,0,0.12,0.00,0.12,0.12,0.12,2.0,2.0,0.0,0.08,0.00,0.08,0.08,0.08
Giorgio Chiellini,it,DF,Juventus,34,1984,4,,1,0,0,0,0,0,0.45,0.00,0.45,0.45,0.45,0.2,0.2,0.0,0.10,0.00,0.10,0.10,0.10
Federico Chiesa,it,"FW,DF",Fiorentina,21,1997,34,,11,6,1,2,7,0,0.38,0.20,0.58,0.34,0.55,11.3,9.8,5.4,0.39,0.19,0.57,0.33,0.52
Vlad Chiricheș,ro,DF,Sassuolo,29,1989,9,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.02,0.00,0.02,0.02,0.02
Luca Cigarini,it,MF,Cagliari,33,1986,22,,0,4,0,0,8,1,0.00,0.23,0.23,0.00,0.23,0.3,0.3,3.0,0.02,0.17,0.19,0.02,0.19
Thiago Cionek,pl,DF,SPAL,33,1986,28,,0,1,0,0,11,0,0.00,0.04,0.04,0.00,0.04,0.4,0.4,1.0,0.02,0.04,0.06,0.02,0.06
Andrea Cistana,it,DF,Brescia,22,1997,21,,1,0,0,0,7,1,0.05,0.00,0.05,0.05,0.05,0.4,0.4,0.6,0.02,0.03,0.05,0.02,0.05
Denilho Cleonise,nl,FW,Genoa,17,2001,4,,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.51,0.00,0.51,0.51,0.51
Ebrima Colley,gm,FW,Atalanta,19,2000,5,,0,1,0,0,1,0,0.00,1.10,1.10,0.00,1.10,0.4,0.4,0.6,0.46,0.62,1.08,0.46,1.08
Omar Colley,gm,DF,Sampdoria,26,1992,31,,0,1,0,0,10,0,0.00,0.03,0.03,0.00,0.03,2.9,2.9,0.4,0.09,0.01,0.11,0.09,0.11
Simone Colombi,it,GK,Parma,28,1991,4,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Lorenzo Colombo,it,FW,Milan,17,2002,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Andrea Consigli,it,GK,Sassuolo,32,1987,31,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.8,0.00,0.02,0.02,0.00,0.02
Andrea Conti,it,DF,Milan,25,1994,23,,0,2,0,0,8,0,0.00,0.10,0.10,0.00,0.10,0.0,0.0,1.5,0.00,0.08,0.08,0.00,0.08
Gabriele Corbo,it,DF,Bologna,19,2000,2,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Andreas Cornelius,dk,FW,Parma,26,1993,26,,12,3,0,0,1,0,0.72,0.18,0.90,0.72,0.90,7.2,7.2,1.6,0.43,0.10,0.53,0.43,0.53
Joaquín Correa,ar,"FW,MF",Lazio,24,1994,30,,9,2,0,0,0,0,0.40,0.09,0.49,0.40,0.49,9.8,9.8,2.8,0.44,0.13,0.57,0.44,0.57
Angelo da Costa Júnior,br,GK,Bologna,35,1983,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Douglas Costa,br,"FW,MF",Juventus,28,1990,23,,1,4,0,0,1,0,0.11,0.45,0.56,0.11,0.56,1.1,1.1,3.4,0.12,0.38,0.50,0.12,0.50
Alessio Cragno,it,GK,Cagliari,25,1994,16,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Domenico Criscito,it,DF,Genoa,32,1986,26,,8,0,7,9,7,0,0.35,0.00,0.35,0.04,0.04,7.2,0.3,1.4,0.31,0.06,0.38,0.01,0.08
Bryan Cristante,it,MF,Roma,24,1995,26,,1,3,0,0,7,1,0.06,0.17,0.22,0.06,0.22,1.2,1.2,1.7,0.07,0.09,0.16,0.07,0.16
Sebastián Cristóforo,uy,MF,Fiorentina,25,1993,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.15,0.15,0.00,0.15
Juan Cuadrado,co,DF,Juventus,31,1988,33,,2,5,0,0,7,1,0.07,0.17,0.24,0.07,0.24,1.4,1.4,4.5,0.05,0.15,0.20,0.05,0.20
Jaume Cuéllar,bo,"FW,MF",SPAL,17,2001,2,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Felipe Curcio,br,DF,Brescia,26,1993,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Patrick Cutrone,it,FW,Fiorentina,21,1998,19,,4,1,0,0,1,0,0.43,0.11,0.54,0.43,0.54,4.1,4.1,1.0,0.44,0.11,0.55,0.44,0.55
Lennart-Marten Czyborra,de,DF,Atalanta,20,1999,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Marco D'Alessandro,it,"MF,DF",SPAL,28,1991,15,,2,0,0,0,0,1,0.23,0.00,0.23,0.23,0.23,0.6,0.6,1.0,0.07,0.12,0.18,0.07,0.18
Danilo D'Ambrosio,it,DF,Inter,30,1988,22,,4,0,0,0,6,0,0.26,0.00,0.26,0.26,0.26,1.8,1.8,1.4,0.12,0.09,0.21,0.12,0.21
Felice D'Amico,it,MF,Sampdoria,18,2000,2,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,1.02,0.00,1.02,1.02,1.02
Jacopo Da Riva,it,FW,Atalanta,18,2000,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,2.10,2.10,0.00,2.10
Bryan Dabo,bf,MF,SPAL,27,1992,16,,1,4,0,0,4,0,0.08,0.32,0.40,0.08,0.40,0.7,0.7,0.8,0.05,0.06,0.12,0.05,0.12
Felipe dal Belo,br,DF,SPAL,35,1984,15,,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.06,0.00,0.06,0.06,0.06
Christian Dalle Mura,it,MF,Fiorentina,17,2002,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Danilo,br,DF,Juventus,28,1991,22,,2,0,0,0,4,1,0.12,0.00,0.12,0.12,0.12,0.7,0.7,0.6,0.04,0.04,0.08,0.04,0.08
Andrea Danzi,it,MF,Hellas Verona,20,1999,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Matteo Darmian,it,DF,Parma,29,1989,33,,1,1,0,0,6,0,0.03,0.03,0.07,0.03,0.07,0.8,0.8,0.8,0.03,0.03,0.05,0.03,0.05
Paweł Dawidowicz,pl,DF,Hellas Verona,24,1995,15,,1,0,0,0,4,2,0.13,0.00,0.13,0.13,0.13,0.4,0.4,0.0,0.05,0.00,0.05,0.05,0.05
Sebastien De Maio,fr,DF,Udinese,32,1987,21,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.0,0.05,0.00,0.05,0.05,0.05
Rodrigo De Paul,ar,MF,Udinese,25,1994,34,,7,6,0,0,5,1,0.22,0.19,0.41,0.22,0.41,5.3,5.3,6.9,0.17,0.22,0.39,0.17,0.39
Mattia De Sciglio,it,DF,Juventus,26,1992,9,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02
Lorenzo De Silvestri,it,DF,Torino,31,1988,29,,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,2.0,2.0,1.6,0.08,0.06,0.14,0.08,0.14
Grégoire Defrel,mq,"FW,MF",Sassuolo,28,1991,17,,3,3,1,1,1,0,0.28,0.28,0.55,0.18,0.46,3.2,2.5,1.4,0.30,0.13,0.42,0.23,0.35
Alessandro Deiola,it,MF,Cagliari,23,1995,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Alessandro Deiola,it,MF,Lecce,23,1995,10,,1,1,0,0,3,0,0.13,0.13,0.25,0.13,0.25,0.4,0.4,0.3,0.06,0.03,0.09,0.06,0.09
Cristian Dell'Orco,it,DF,Lecce,25,1994,14,,0,1,0,0,2,1,0.00,0.09,0.09,0.00,0.09,0.0,0.0,0.5,0.00,0.04,0.04,0.00,0.04
Merih Demiral,tr,DF,Juventus,21,1998,6,,1,1,0,0,1,0,0.22,0.22,0.43,0.22,0.43,0.4,0.4,0.3,0.09,0.06,0.14,0.09,0.14
Diego Demme,de,MF,Napoli,27,1991,15,,1,0,0,0,6,0,0.10,0.00,0.10,0.10,0.10,0.3,0.3,0.4,0.03,0.04,0.07,0.03,0.07
Stefano Denswil,nl,DF,Bologna,26,1993,26,,0,1,0,0,7,1,0.00,0.04,0.04,0.00,0.04,1.1,1.1,0.5,0.05,0.02,0.06,0.05,0.06
Fabio Depaoli,it,"MF,DF",Sampdoria,22,1997,29,,0,1,0,0,7,0,0.00,0.05,0.05,0.00,0.05,1.5,1.5,2.2,0.07,0.11,0.18,0.07,0.18
Kastriot Dermaku,al,DF,Parma,27,1992,16,,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.07,0.00,0.07,0.07,0.07
Daniele Dessena,it,MF,Brescia,32,1987,24,,2,0,0,0,7,1,0.10,0.00,0.10,0.10,0.10,1.3,1.3,0.2,0.06,0.01,0.07,0.06,0.07
Mattia Destro,it,"FW,MF",Genoa,28,1991,8,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.27,0.00,0.27,0.27,0.27
Mattia Destro,it,FW,Bologna,28,1991,5,,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.9,0.19,0.44,0.63,0.19,0.63
Samuel Di Carmine,it,FW,Hellas Verona,30,1988,22,,8,0,1,2,3,0,0.56,0.00,0.56,0.49,0.49,6.3,4.8,0.6,0.44,0.04,0.48,0.33,0.38
Federico Di Francesco,it,FW,SPAL,25,1994,20,,2,0,0,0,4,0,0.17,0.00,0.17,0.17,0.17,2.4,2.4,1.0,0.20,0.08,0.28,0.20,0.28
Giovanni Di Lorenzo,it,DF,Napoli,25,1993,33,,3,3,0,0,5,0,0.09,0.09,0.18,0.09,0.18,3.1,3.1,2.8,0.09,0.09,0.18,0.09,0.18
Amadou Diawara,gn,MF,Roma,22,1997,22,,1,1,1,1,4,0,0.06,0.06,0.12,0.00,0.06,1.0,0.3,0.5,0.06,0.03,0.09,0.01,0.04
Mitchell Dijks,nl,DF,Bologna,26,1993,13,,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.8,0.00,0.07,0.07,0.00,0.07
Federico Dimarco,it,DF,Hellas Verona,21,1997,13,,0,3,0,0,1,0,0.00,0.52,0.52,0.00,0.52,0.6,0.6,1.9,0.11,0.34,0.44,0.11,0.44
Federico Dimarco,it,"DF,MF",Inter,21,1997,3,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.14,0.00,0.14,0.14,0.14
Koffi Djidji,ci,DF,Torino,26,1992,17,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.01,0.01,0.00,0.01
Berat Djimsiti,al,DF,Atalanta,26,1993,34,,2,1,0,0,5,0,0.06,0.03,0.10,0.06,0.10,1.8,1.8,0.5,0.06,0.01,0.07,0.06,0.07
Nicolás Domínguez,ar,MF,Bologna,21,1998,16,,0,1,0,0,1,0,0.00,0.13,0.13,0.00,0.13,0.5,0.5,0.9,0.06,0.11,0.18,0.06,0.18
Giulio Donati,it,DF,Lecce,29,1990,20,,1,0,0,0,4,0,0.05,0.00,0.05,0.05,0.05,0.5,0.5,1.7,0.03,0.09,0.11,0.03,0.11
Alfredo Donnarumma,it,FW,Brescia,28,1990,31,,7,2,2,2,1,0,0.37,0.11,0.48,0.27,0.37,6.7,5.2,1.1,0.36,0.06,0.41,0.28,0.33
Gianluigi Donnarumma,it,GK,Milan,20,1999,36,,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Bartłomiej Drągowski,pl,GK,Fiorentina,21,1997,31,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Léo Duarte,br,DF,Milan,23,1996,6,,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.08,0.00,0.08,0.08,0.08
Edgaras Dubickas,lt,DF,Lecce,21,1998,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Alfred Duncan,gh,MF,Sassuolo,26,1993,13,,1,5,0,0,3,0,0.11,0.53,0.64,0.11,0.64,1.3,1.3,0.9,0.14,0.10,0.24,0.14,0.24
Alfred Duncan,gh,MF,Fiorentina,26,1993,13,,1,1,0,0,2,0,0.10,0.10,0.20,0.10,0.20,0.7,0.7,0.6,0.07,0.06,0.13,0.07,0.13
Paulo Dybala,ar,"FW,MF",Juventus,25,1993,33,,11,6,1,1,5,0,0.46,0.25,0.71,0.42,0.67,8.8,8.1,6.6,0.37,0.27,0.64,0.34,0.61
Edin Džeko,ba,FW,Roma,33,1986,35,,16,7,0,0,4,0,0.50,0.22,0.73,0.50,0.73,18.1,18.1,5.0,0.57,0.16,0.73,0.57,0.73
Blerim Džemaili,ch,MF,Bologna,33,1986,14,,1,1,0,0,2,0,0.13,0.13,0.26,0.13,0.26,0.6,0.6,1.4,0.07,0.18,0.25,0.07,0.25
