player,nation,position,squad,age,born,matches_played,startsminutes,goals,assists,penalties,penalties_scored,yellow_cards,red_cards,goals_per_90,assists_per_90,goals_and_assists_per_90,goals_minus_pens_per_90,goals_plus_assists_minus_pens_per_90,xG,npxG,xA,xG90,xA90,xG_plus_xA_90,npxG90,npxG_plus_xA90
Gastón Pereiro,uy,"MF,FW",Cagliari,24,1995,10,,1,0,0,0,3,0,0.26,0.00,0.26,0.26,0.26,0.8,0.8,0.3,0.21,0.09,0.30,0.21,0.30
Bruno Peres,br,DF,Roma,29,1990,16,,2,2,0,0,3,0,0.17,0.17,0.34,0.17,0.34,1.1,1.1,1.3,0.10,0.11,0.21,0.10,0.21
Carles Pérez,es,"FW,MF",Roma,21,1998,14,,1,3,0,0,2,0,0.16,0.48,0.64,0.16,0.64,1.7,1.7,1.2,0.28,0.19,0.47,0.28,0.47
Mattia Perin,it,GK,Genoa,26,1992,21,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.01,0.01,0.00,0.01
Diego Perotti,ar,"FW,MF",Roma,31,1988,21,,5,3,4,4,3,1,0.51,0.31,0.82,0.10,0.41,4.0,1.0,2.6,0.42,0.26,0.68,0.10,0.37
Matteo Pessina,it,"MF,FW",Hellas Verona,22,1997,35,,7,0,0,0,7,0,0.25,0.00,0.25,0.25,0.25,4.8,4.8,1.3,0.17,0.05,0.22,0.17,0.22
Andrea Petagna,it,FW,SPAL,24,1995,36,,12,1,5,7,5,0,0.36,0.03,0.39,0.21,0.24,12.9,7.6,3.4,0.38,0.10,0.48,0.23,0.32
Jacopo Petriccione,it,MF,Lecce,24,1995,31,,0,5,0,0,10,0,0.00,0.21,0.21,0.00,0.21,0.5,0.5,2.1,0.02,0.09,0.11,0.02,0.11
Germán Pezzella,ar,DF,Fiorentina,28,1991,33,,3,1,0,0,12,0,0.10,0.03,0.13,0.10,0.13,2.6,2.6,0.3,0.08,0.01,0.09,0.08,0.09
Giuseppe Pezzella,it,DF,Parma,21,1997,22,,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03
Giuseppe Pezzella,it,DF,Udinese,21,1997,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02
Krzysztof Piątek,pl,FW,Milan,24,1995,18,,4,0,3,3,1,0,0.30,0.00,0.30,0.08,0.08,6.2,3.9,0.9,0.47,0.07,0.54,0.30,0.37
