home,homeXg,score,awayXg,away
Arsenal,0.8,1–2,1.5,Chelsea
Liverpool,1.1,1–0,0.6,Wolves
Manchester City,1.0,2–0,1.0,Sheffield Utd
Brighton,0.9,1–1,1.6,Chelsea
Burnley,2.0,1–2,0.9,Aston Villa
Watford,0.9,2–1,1.3,Wolves
Newcastle Utd,0.7,0–3,1.7,Leicester City
Southampton,1.4,1–0,0.5,Tottenham
Norwich City,1.5,1–1,1.5,Crystal Palace
West Ham,1.7,4–0,0.4,Bournemouth
Manchester City,1.6,2–1,1.2,Everton
Arsenal,1.5,2–0,0.8,Manchester Utd
Liverpool,3.0,2–0,0.7,Sheffield Utd
Sheffield Utd,1.9,1–0,0.8,West Ham
Crystal Palace,0.5,1–1,1.4,Arsenal
Chelsea,2.5,3–0,0.5,Burnley
Manchester Utd,2.1,4–0,0.3,Norwich City
Leicester City,1.1,1–2,2.3,Southampton
Wolves,0.9,1–1,0.2,Newcastle Utd
Everton,1.9,1–0,1.3,Brighton
Tottenham,1.6,0–1,1.8,Liverpool
Bournemouth,0.3,0–3,2.1,Watford
Aston Villa,0.9,1–6,2.5,Manchester City
Watford,1.7,0–0,1.7,Tottenham
Brighton,0.8,1–1,0.7,Aston Villa
Manchester City,2.0,2–2,0.4,Crystal Palace
West Ham,1.2,1–1,1.2,Everton
Southampton,0.7,2–3,1.7,Wolves
Norwich City,2.0,1–0,0.9,Bournemouth
Arsenal,1.3,1–1,0.8,Sheffield Utd
Newcastle Utd,0.6,1–0,2.1,Chelsea
Burnley,1.3,2–1,2.3,Leicester City
Liverpool,2.4,2–0,1.4,Manchester Utd
Crystal Palace,0.8,0–2,1.3,Southampton
Bournemouth,1.6,3–1,1.2,Brighton
Aston Villa,0.9,2–1,1.3,Watford
Sheffield Utd,0.8,0–1,2.9,Manchester City
Everton,1.6,2–2,0.8,Newcastle Utd
Chelsea,2.8,2–2,0.4,Arsenal
Leicester City,2.8,4–1,1.7,West Ham
Tottenham,2.0,2–1,1.7,Norwich City
Manchester Utd,1.9,0–2,0.5,Burnley
Wolves,1.5,1–2,1.4,Liverpool
West Ham,0.9,0–2,2.6,Liverpool
Leicester City,1.4,2–2,0.4,Chelsea
Watford,0.6,2–3,2.1,Everton
Newcastle Utd,0.7,0–0,1.5,Norwich City
Bournemouth,2.4,2–1,1.4,Aston Villa
Liverpool,2.9,4–0,1.0,Southampton
Crystal Palace,1.1,0–1,0.5,Sheffield Utd
West Ham,0.9,3–3,1.9,Brighton
Manchester Utd,0.7,0–0,0.9,Wolves
Burnley,1.9,0–0,1.1,Arsenal
Tottenham,0.2,2–0,3.2,Manchester City
Everton,2.4,3–1,1.0,Crystal Palace
Brighton,0.8,1–1,0.2,Watford
Sheffield Utd,1.7,2–1,1.3,Bournemouth
Wolves,0.9,0–0,0.6,Leicester City
Southampton,0.6,1–2,0.6,Burnley
Norwich City,0.4,0–1,1.9,Liverpool
Aston Villa,1.9,2–3,3.3,Tottenham
Arsenal,1.9,4–0,0.9,Newcastle Utd
Chelsea,1.4,0–2,0.7,Manchester Utd
Manchester City,2.3,2–0,0.1,West Ham
Chelsea,1.6,2–1,0.4,Tottenham
Southampton,2.8,2–0,0.4,Aston Villa
Sheffield Utd,1.7,1–1,1.0,Brighton
Burnley,2.7,3–0,1.6,Bournemouth
Crystal Palace,1.3,1–0,0.2,Newcastle Utd
Leicester City,1.2,0–1,2.3,Manchester City
Wolves,2.9,3–0,0.4,Norwich City
Manchester Utd,2.4,3–0,0.3,Watford
Arsenal,1.2,3–2,1.9,Everton
Liverpool,2.6,3–2,0.6,West Ham
Norwich City,0.8,1–0,1.2,Leicester City
Brighton,1.7,0–1,2.2,Crystal Palace
Bournemouth,1.9,2–2,1.8,Chelsea
West Ham,2.3,3–1,1.0,Southampton
Newcastle Utd,1.1,0–0,0.7,Burnley
Watford,2.1,3–0,0.4,Liverpool
Everton,2.3,1–1,1.0,Manchester Utd
Tottenham,1.6,2–3,2.4,Wolves
Liverpool,1.3,2–1,1.2,Bournemouth
Sheffield Utd,1.0,1–0,1.4,Norwich City
Wolves,0.6,0–0,0.3,Brighton
Crystal Palace,0.7,1–0,0.5,Watford
Arsenal,1.3,1–0,1.8,West Ham
Southampton,0.4,0–1,2.9,Newcastle Utd
Burnley,2.4,1–1,1.2,Tottenham
Chelsea,1.9,4–0,0.6,Everton
Manchester Utd,1.4,2–0,0.6,Manchester City
Leicester City,2.2,4–0,0.5,Aston Villa
Aston Villa,1.4,0–0,0.4,Sheffield Utd
Manchester City,3.2,3–0,0.3,Arsenal
Norwich City,0.9,0–3,1.7,Southampton
Tottenham,0.3,1–1,1.8,Manchester Utd
Watford,0.9,1–1,0.8,Leicester City
Brighton,0.9,2–1,1.3,Arsenal
West Ham,0.3,0–2,0.7,Wolves
Bournemouth,0.8,0–2,0.6,Crystal Palace
Newcastle Utd,1.4,3–0,0.4,Sheffield Utd
Aston Villa,1.2,1–2,1.3,Chelsea
Everton,1.3,0–0,0.8,Liverpool
Manchester City,2.8,5–0,0.1,Burnley
Leicester City,0.6,0–0,1.2,Brighton
Tottenham,1.7,2–0,0.8,West Ham
Manchester Utd,2.3,3–0,0.2,Sheffield Utd
Newcastle Utd,0.7,1–1,1.0,Aston Villa
Norwich City,0.4,0–1,0.8,Everton
Wolves,1.2,1–0,0.1,Bournemouth
Liverpool,2.4,4–0,0.2,Crystal Palace
Southampton,0.7,0–2,2.6,Arsenal
Burnley,1.2,1–0,0.7,Watford
Chelsea,2.9,2–1,0.5,Manchester City
Aston Villa,0.3,0–1,0.4,Wolves
Watford,0.4,1–3,1.2,Southampton
Crystal Palace,1.1,0–1,0.5,Burnley
Brighton,0.5,0–3,0.8,Manchester Utd
Everton,1.1,2–1,1.6,Leicester City
Bournemouth,1.3,1–4,1.5,Newcastle Utd
Arsenal,2.0,4–0,0.2,Norwich City
West Ham,2.6,3–2,1.7,Chelsea
Sheffield Utd,1.6,3–1,1.0,Tottenham
Manchester City,2.9,4–0,1.2,Liverpool
Norwich City,0.6,0–1,0.5,Brighton
Leicester City,2.4,3–0,0.5,Crystal Palace
Manchester Utd,2.2,5–2,1.2,Bournemouth
Wolves,0.8,0–2,1.3,Arsenal
Chelsea,2.3,3–0,0.5,Watford
Burnley,1.5,1–1,1.2,Sheffield Utd
Newcastle Utd,1.0,2–2,1.7,West Ham
Liverpool,0.8,2–0,0.5,Aston Villa
Southampton,0.7,1–0,2.9,Manchester City
Tottenham,0.6,1–0,0.4,Everton
Watford,0.9,2–1,1.4,Norwich City
Crystal Palace,1.3,2–3,2.0,Chelsea
Arsenal,1.7,1–1,1.6,Leicester City
Manchester City,3.3,5–0,0.2,Newcastle Utd
West Ham,1.7,0–1,0.9,Burnley
