Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
658,Marco Sportiello,it,GK,Atalanta,27,1992,6,525,88,15.4,5.8,5,88,1,86,31,2.00,17,5,+12,+2.06,+0.88,11.8,3.6,+8.3,+1.42,+0.88,/en/players/ac4003af/matchlogs/2019-2020/summary/Marco-Sportiello-Match-Logs
659,Mattia Sprocati,it,FW,Parma,26,1992,20,590,30,17.3,6.6,4,70,16,20,18,0.90,8,9,-1,-0.15,-0.15,6.8,11.5,-4.6,-0.71,-0.15,/en/players/bdd0692f/matchlogs/2019-2020/summary/Mattia-Sprocati-Match-Logs
660,Filip Stankovic,rs,GK,Inter,17,2002,0,,,,,0,,0,,3,,,,,,,,,,,,/en/players/d34d8ed2/matchlogs/2019-2020/summary/Filip-Stankovic-Match-Logs
661,Leonardo Stanzani,it,FW,Bologna,19,2000,0,,,,,0,,0,,3,,,,,,,,,,,,/en/players/f85768c1/matchlogs/2019-2020/summary/Leonardo-Stanzani-Match-Logs
662,Mariusz Stępiński,pl,FW,Hellas Verona,24,1995,21,706,34,20.6,7.8,7,65,14,18,14,1.10,12,11,+1,+0.13,+0.29,10.9,12.7,-1.7,-0.22,+0.29,/en/players/7b536033/matchlogs/2019-2020/summary/Mariusz-Stepinski-Match-Logs
663,Thomas Strakosha,al,GK,Lazio,24,1995,38,"3,420",90,100.0,38.0,38,90,0,,0,2.05,79,42,+37,+0.97,,68.0,49.5,+18.6,+0.49,,/en/players/339fe0e8/matchlogs/2019-2020/summary/Thomas-Strakosha-Match-Logs
664,Jens Stryger Larsen,dk,DF,Udinese,28,1991,33,"2,789",85,81.5,31.0,32,86,1,22,0,1.18,27,32,-5,-0.16,+1.12,31.9,36.5,-4.6,-0.15,+1.12,/en/players/f91e81c9/matchlogs/2019-2020/summary/Jens-Stryger-Larsen-Match-Logs
665,Stefano Sturaro,it,MF,Genoa,26,1993,16,"1,252",78,36.6,13.9,15,81,1,34,2,1.31,18,24,-6,-0.43,+0.40,19.9,19.7,+0.2,+0.02,+0.40,/en/players/2334478a/matchlogs/2019-2020/summary/Stefano-Sturaro-Match-Logs
666,Suso,es,"FW,MF",Milan,25,1993,16,"1,359",85,39.7,15.1,15,88,1,34,4,1.31,13,21,-8,-0.53,-1.62,19.3,20.9,-1.7,-0.11,-1.62,/en/players/4e219ad2/matchlogs/2019-2020/summary/Suso-Match-Logs
667,Bosko Sutalo,hr,DF,Atalanta,19,2000,7,280,40,8.2,3.1,3,72,4,16,6,2.71,7,3,+4,+1.29,-0.03,5.7,2.9,+2.8,+0.89,-0.03,/en/players/1d0bb7e4/matchlogs/2019-2020/summary/Bosko-Sutalo-Match-Logs
668,Mattias Svanberg,se,MF,Bologna,20,1999,25,"1,051",42,30.7,11.7,12,71,13,16,11,1.20,16,29,-13,-1.11,-1.11,13.7,22.5,-8.7,-0.75,-1.11,/en/players/92d83c27/matchlogs/2019-2020/summary/Mattias-Svanberg-Match-Logs
669,Wojciech Szczęsny,pl,GK,Juventus,29,1990,29,"2,591",89,75.8,28.8,29,89,0,,7,2.10,57,33,+24,+0.83,-0.14,50.1,34.2,+15.9,+0.55,-0.14,/en/players/01b8a2b2/matchlogs/2019-2020/summary/Wojciech-Szczesny-Match-Logs
