Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
54,Daniel Bessa,it,MF,Genoa,25,1993,27.1,73,2.69,58,9,2,2,2,6,0.22,58,9,2,2,2,0,/en/players/88895312/matchlogs/2018-2019/gca/Daniel-Bessa-Match-Logs
55,Jonathan Biabiany,fr,"FW,MF",Parma,30,1988,11.9,22,1.85,16,1,2,0,3,0,0.00,16,1,2,0,3,0,/en/players/6b99d135/matchlogs/2018-2019/gca/Jonathan-Biabiany-Match-Logs
56,Lucas Biglia,ar,MF,Milan,32,1986,12.4,25,2.02,21,2,0,0,1,3,0.24,21,2,0,0,1,1,/en/players/5710a281/matchlogs/2018-2019/gca/Lucas-Biglia-Match-Logs
57,Cristiano Biraghi,it,DF,Fiorentina,25,1992,35.5,100,2.82,72,24,1,3,0,8,0.23,72,24,1,3,0,0,/en/players/9e1577aa/matchlogs/2018-2019/gca/Cristiano-Biraghi-Match-Logs
58,Davide Biraschi,it,DF,Genoa,24,1994,31.6,24,0.76,14,3,2,0,5,1,0.03,14,3,2,0,5,0,/en/players/64cd167d/matchlogs/2018-2019/gca/Davide-Biraschi-Match-Logs
59,Valter Birsa,si,"MF,FW",Chievo,31,1986,12.2,43,3.51,26,11,3,1,2,3,0.25,26,11,3,1,2,0,/en/players/455a2b79/matchlogs/2018-2019/gca/Valter-Birsa-Match-Logs
60,Valter Birsa,si,"MF,FW",Cagliari,31,1986,3.9,14,3.57,4,7,1,1,1,0,0.00,4,7,1,1,1,0,/en/players/455a2b79/matchlogs/2018-2019/gca/Valter-Birsa-Match-Logs
61,Kevin-Prince Boateng,gh,FW,Sassuolo,31,1987,10.4,27,2.59,22,0,0,2,3,4,0.38,22,0,0,2,3,0,/en/players/f4ec4fd0/matchlogs/2018-2019/gca/Kevin-Prince-Boateng-Match-Logs
62,Jeremie Boga,ci,"FW,MF",Sassuolo,21,1997,16.0,41,2.56,25,0,10,2,4,6,0.37,25,0,10,2,4,0,/en/players/fe012aca/matchlogs/2018-2019/gca/Jeremie-Boga-Match-Logs
63,Giacomo Bonaventura,it,MF,Milan,28,1989,7.2,27,3.76,19,1,3,4,0,2,0.28,19,1,3,4,0,0,/en/players/d995ed27/matchlogs/2018-2019/gca/Giacomo-Bonaventura-Match-Logs
64,Kevin Bonifazi,it,DF,SPAL,22,1996,25.6,22,0.86,19,0,1,2,0,1,0.04,19,0,1,2,0,0,/en/players/fb77bfef/matchlogs/2018-2019/gca/Kevin-Bonifazi-Match-Logs
65,Leonardo Bonucci,it,DF,Juventus,31,1987,27.5,21,0.76,19,0,1,1,0,2,0.07,19,0,1,1,0,0,/en/players/52ec54d0/matchlogs/2018-2019/gca/Leonardo-Bonucci-Match-Logs
66,Fabio Borini,it,"FW,MF",Milan,27,1991,11.7,34,2.90,22,1,4,3,4,3,0.26,22,1,4,3,4,0,/en/players/ef5b337e/matchlogs/2018-2019/gca/Fabio-Borini-Match-Logs
