Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
40,Bastos,ao,DF,Lazio,27,1991,18,11,"1,139",1,0,0,0,3,0,1,0,0.08,0.08,0.08,0.9,0.9,0.0,0.9,0.0,0.08,0.9,0.08,/en/players/c01c66d9/matchlogs/2018-2019/summary/Bastos-Match-Logs
41,Andrea Beghetto,it,"DF,MF",Frosinone,23,1994,27,25,"2,226",0,3,0,0,3,0,0,3,0.12,0.00,0.12,0.8,0.8,3.8,0.8,3.8,0.18,0.8,0.18,/en/players/438dfc6a/matchlogs/2018-2019/summary/Andrea-Beghetto-Match-Logs
42,Valon Behrami,ch,MF,Udinese,33,1985,19,17,"1,361",1,0,0,0,6,0,1,0,0.07,0.07,0.07,0.7,0.7,0.4,0.7,0.4,0.07,0.7,0.07,/en/players/d3d758d8/matchlogs/2018-2019/summary/Valon-Behrami-Match-Logs
43,Andrea Belotti,it,FW,Torino,24,1993,37,37,"3,299",15,3,5,6,5,0,15,3,0.49,0.27,0.35,17.5,12.9,4.1,17.5,4.1,0.59,12.9,0.46,/en/players/d705ba44/matchlogs/2018-2019/summary/Andrea-Belotti-Match-Logs
44,Marco Benassi,it,MF,Fiorentina,23,1994,32,29,"2,282",7,1,0,0,6,1,7,1,0.32,0.28,0.32,5.3,5.3,1.7,5.3,1.7,0.28,5.3,0.28,/en/players/0000acda/matchlogs/2018-2019/summary/Marco-Benassi-Match-Logs
45,Medhi Benatia,ma,DF,Juventus,31,1987,5,5,450,0,0,0,0,2,0,0,0,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.0,0.02,0.1,0.02,/en/players/3b15ef2d/matchlogs/2018-2019/summary/Medhi-Benatia-Match-Logs
46,Ismaël Bennacer,dz,MF,Empoli,20,1997,37,32,"2,961",0,5,0,0,7,0,0,5,0.15,0.00,0.15,0.6,0.6,2.4,0.6,2.4,0.09,0.6,0.09,/en/players/db092d3b/matchlogs/2018-2019/summary/Ismael-Bennacer-Match-Logs
47,Rodrigo Bentancur,uy,MF,Juventus,21,1997,31,21,"2,003",2,3,0,0,8,1,2,3,0.22,0.09,0.22,1.4,1.4,1.2,1.4,1.2,0.12,1.4,0.12,/en/players/3b8674e6/matchlogs/2018-2019/summary/Rodrigo-Bentancur-Match-Logs
48,Domenico Berardi,it,"FW,MF",Sassuolo,23,1994,35,32,"2,875",8,4,1,1,5,1,8,4,0.38,0.22,0.34,8.8,8.1,3.9,8.8,3.9,0.40,8.1,0.37,/en/players/53a0e358/matchlogs/2018-2019/summary/Domenico-Berardi-Match-Logs
49,Álex Berenguer,es,"MF,FW",Torino,23,1995,31,15,"1,486",2,3,0,0,4,0,2,3,0.30,0.12,0.30,1.2,1.2,4.6,1.2,4.6,0.36,1.2,0.36,/en/players/dc1c2fce/matchlogs/2018-2019/summary/Alex-Berenguer-Match-Logs
50,Bartosz Bereszyński,pl,DF,Sampdoria,26,1992,27,24,"2,200",0,2,0,0,6,1,0,2,0.08,0.00,0.08,0.2,0.2,0.8,0.2,0.8,0.04,0.2,0.04,/en/players/61b3978f/matchlogs/2018-2019/summary/Bartosz-Bereszynski-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Etrit Berisha,al,GK,Atalanta,29,1989,18,18,"1,620",0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00,/en/players/ee833569/matchlogs/2018-2019/summary/Etrit-Berisha-Match-Logs
52,Valon Berisha,xk,MF,Lazio,25,1993,8,1,198,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.09,/en/players/d5575935/matchlogs/2018-2019/summary/Valon-Berisha-Match-Logs
53,Federico Bernardeschi,it,"FW,MF",Juventus,24,1994,28,14,"1,473",2,3,0,0,5,1,2,3,0.31,0.12,0.31,3.5,3.5,2.8,3.5,2.8,0.39,3.5,0.39,/en/players/ee93c1a9/matchlogs/2018-2019/summary/Federico-Bernardeschi-Match-Logs
54,Daniel Bessa,it,MF,Genoa,25,1993,34,25,"2,441",1,3,0,0,8,0,1,3,0.15,0.04,0.15,2.8,2.8,2.7,2.8,2.7,0.20,2.8,0.20,/en/players/88895312/matchlogs/2018-2019/summary/Daniel-Bessa-Match-Logs
