Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
45,Medhi Benatia,ma,DF,Juventus,31,1987,5.0,7,6,6,1,0,7,5,60.0,2,34,7,20.6,6,1,0,11,5,0,6,15,22,22,0,/en/players/3b15ef2d/matchlogs/2018-2019/defense/Medhi-Benatia-Match-Logs
46,Ismaël Bennacer,dz,MF,Empoli,20,1997,32.9,96,68,47,40,9,96,78,38.5,48,783,208,26.6,47,40,9,62,10,0,52,55,151,35,0,/en/players/db092d3b/matchlogs/2018-2019/defense/Ismael-Bennacer-Match-Logs
47,Rodrigo Bentancur,uy,MF,Juventus,21,1997,22.3,50,28,22,23,5,50,56,32.1,38,548,138,25.2,22,23,5,38,8,0,30,44,94,44,1,/en/players/3b8674e6/matchlogs/2018-2019/defense/Rodrigo-Bentancur-Match-Logs
48,Domenico Berardi,it,"FW,MF",Sassuolo,23,1994,31.9,41,23,16,13,12,41,72,25.0,54,697,140,20.1,16,13,12,39,4,0,35,28,69,22,0,/en/players/53a0e358/matchlogs/2018-2019/defense/Domenico-Berardi-Match-Logs
49,Álex Berenguer,es,"MF,FW",Torino,23,1995,16.5,37,27,16,16,5,37,37,29.7,26,324,81,25.0,16,16,5,24,2,0,22,8,45,6,0,/en/players/dc1c2fce/matchlogs/2018-2019/defense/Alex-Berenguer-Match-Logs
50,Bartosz Bereszyński,pl,DF,Sampdoria,26,1992,24.4,56,25,35,19,2,56,60,36.7,38,315,93,29.5,35,19,2,61,5,0,56,33,89,48,0,/en/players/61b3978f/matchlogs/2018-2019/defense/Bartosz-Bereszynski-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Etrit Berisha,al,GK,Atalanta,29,1989,18.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,0,0,0,0,0,0,0,1,1,0,0,/en/players/ee833569/matchlogs/2018-2019/defense/Etrit-Berisha-Match-Logs
52,Valon Berisha,xk,MF,Lazio,25,1993,2.2,8,5,2,5,1,8,3,0.0,3,74,14,18.9,2,5,1,7,0,0,7,4,12,2,0,/en/players/d5575935/matchlogs/2018-2019/defense/Valon-Berisha-Match-Logs
53,Federico Bernardeschi,it,"FW,MF",Juventus,24,1994,16.4,15,11,7,5,3,15,26,23.1,20,332,69,20.8,7,5,3,12,1,0,11,7,22,8,0,/en/players/ee93c1a9/matchlogs/2018-2019/defense/Federico-Bernardeschi-Match-Logs
54,Daniel Bessa,it,MF,Genoa,25,1993,27.1,55,36,29,20,6,55,53,30.2,37,711,173,24.3,29,20,6,35,3,0,32,21,76,11,0,/en/players/88895312/matchlogs/2018-2019/defense/Daniel-Bessa-Match-Logs
55,Jonathan Biabiany,fr,"FW,MF",Parma,30,1988,11.9,29,14,15,10,4,29,19,31.6,13,302,57,18.9,15,10,4,11,1,0,10,11,40,11,0,/en/players/6b99d135/matchlogs/2018-2019/defense/Jonathan-Biabiany-Match-Logs
56,Lucas Biglia,ar,MF,Milan,32,1986,12.4,55,37,31,22,2,55,57,31.6,39,377,114,30.2,31,22,2,26,3,0,23,22,77,25,0,/en/players/5710a281/matchlogs/2018-2019/defense/Lucas-Biglia-Match-Logs
57,Cristiano Biraghi,it,DF,Fiorentina,25,1992,35.5,54,26,32,14,8,54,40,45.0,22,404,101,25.0,32,14,8,78,15,0,63,41,95,101,1,/en/players/9e1577aa/matchlogs/2018-2019/defense/Cristiano-Biraghi-Match-Logs
58,Davide Biraschi,it,DF,Genoa,24,1994,31.6,68,42,42,24,2,68,61,41.0,36,464,126,27.2,42,24,2,48,11,0,37,64,132,135,0,/en/players/64cd167d/matchlogs/2018-2019/defense/Davide-Biraschi-Match-Logs
59,Valter Birsa,si,"MF,FW",Chievo,31,1986,12.2,18,11,6,9,3,18,24,33.3,16,217,50,23.0,6,9,3,11,0,0,11,5,23,9,0,/en/players/455a2b79/matchlogs/2018-2019/defense/Valter-Birsa-Match-Logs
60,Valter Birsa,si,"MF,FW",Cagliari,31,1986,3.9,3,2,0,2,1,3,7,28.6,5,85,24,28.2,0,2,1,4,0,0,4,4,7,1,0,/en/players/455a2b79/matchlogs/2018-2019/defense/Valter-Birsa-Match-Logs
61,Kevin-Prince Boateng,gh,FW,Sassuolo,31,1987,10.4,6,4,0,3,3,6,5,20.0,4,133,28,21.1,0,3,3,8,3,1,5,3,9,9,0,/en/players/f4ec4fd0/matchlogs/2018-2019/defense/Kevin-Prince-Boateng-Match-Logs
