home,homeXg,score,awayXg,away
Newcastle Utd,1.0,0–0,0.6,Burnley
West Ham,2.4,3–1,1.0,Southampton
Watford,2.3,3–0,0.4,Liverpool
Tottenham,1.5,2–3,2.5,Wolves
Everton,2.5,1–1,1.2,Manchester Utd
,,,,
Liverpool,1.2,2–1,1.3,Bournemouth
Wolves,0.6,0–0,0.3,Brighton
Arsenal,1.3,1–0,1.8,West Ham
Sheffield Utd,1.0,1–0,1.5,Norwich City
Crystal Palace,0.6,1–0,0.6,Watford
Southampton,0.4,0–1,2.8,Newcastle Utd
Burnley,2.4,1–1,1.3,Tottenham
Chelsea,2.0,4–0,0.5,Everton
Manchester Utd,1.4,2–0,0.6,Manchester City
Leicester City,2.3,4–0,0.5,Aston Villa
,,,,
Aston Villa,1.4,0–0,0.4,Sheffield Utd
Manchester City,3.6,3–0,0.2,Arsenal
,,,,
Norwich City,0.8,0–3,1.7,Southampton
Tottenham,0.4,1–1,1.6,Manchester Utd
Watford,0.9,1–1,0.8,Leicester City
Brighton,0.9,2–1,1.3,Arsenal
West Ham,0.3,0–2,0.7,Wolves
Bournemouth,0.9,0–2,0.6,Crystal Palace
Newcastle Utd,1.5,3–0,0.4,Sheffield Utd
Aston Villa,1.2,1–2,1.4,Chelsea
Everton,1.4,0–0,0.9,Liverpool
Manchester City,2.7,5–0,0.0,Burnley
,,,,
Leicester City,0.7,0–0,1.2,Brighton
Tottenham,1.8,2–0,0.8,West Ham
Wolves,1.1,1–0,0.1,Bournemouth
Newcastle Utd,0.8,1–1,1.0,Aston Villa
Norwich City,0.4,0–1,0.9,Everton
Manchester Utd,2.5,3–0,0.1,Sheffield Utd
Liverpool,2.4,4–0,0.2,Crystal Palace
Burnley,1.2,1–0,0.7,Watford
Southampton,0.8,0–2,2.7,Arsenal
Chelsea,3.1,2–1,0.7,Manchester City
,,,,
Aston Villa,0.4,0–1,0.5,Wolves
Watford,0.5,1–3,1.3,Southampton
Crystal Palace,1.2,0–1,0.6,Burnley
Brighton,0.5,0–3,0.8,Manchester Utd
Arsenal,1.9,4–0,0.3,Norwich City
Everton,1.2,2–1,1.6,Leicester City
Bournemouth,1.2,1–4,1.4,Newcastle Utd
West Ham,2.6,3–2,1.8,Chelsea
Sheffield Utd,1.7,3–1,1.0,Tottenham
Manchester City,3.0,4–0,1.4,Liverpool
,,,,
Norwich City,0.6,0–1,0.6,Brighton
Manchester Utd,2.3,5–2,1.1,Bournemouth
Leicester City,2.6,3–0,0.6,Crystal Palace
Wolves,1.0,0–2,1.2,Arsenal
Chelsea,2.4,3–0,0.5,Watford
Burnley,1.5,1–1,1.2,Sheffield Utd
Newcastle Utd,1.0,2–2,1.5,West Ham
Liverpool,0.8,2–0,0.5,Aston Villa
Southampton,0.8,1–0,2.8,Manchester City
Tottenham,0.6,1–0,0.5,Everton
,,,,
Crystal Palace,1.3,2–3,1.9,Chelsea
Watford,0.8,2–1,1.4,Norwich City
Arsenal,1.7,1–1,1.5,Leicester City
West Ham,1.9,0–1,1.0,Burnley
Manchester City,3.0,5–0,0.2,Newcastle Utd
Sheffield Utd,0.8,1–0,0.4,Wolves
Brighton,2.4,1–3,1.9,Liverpool
Everton,1.0,1–1,2.3,Southampton
Bournemouth,1.2,0–0,0.6,Tottenham
Aston Villa,0.5,0–3,2.7,Manchester Utd
,,,,
Norwich City,0.9,0–4,2.7,West Ham
Watford,3.2,2–1,1.5,Newcastle Utd
Liverpool,2.1,1–1,0.7,Burnley
Sheffield Utd,2.1,3–0,1.1,Chelsea
Brighton,0.1,0–5,4.6,Manchester City
Wolves,2.4,3–0,0.3,Everton
Aston Villa,1.8,2–0,1.3,Crystal Palace
Tottenham,1.5,2–1,0.8,Arsenal
Bournemouth,1.9,4–1,1.4,Leicester City
Manchester Utd,1.3,2–2,1.6,Southampton
,,,,
Chelsea,2.5,1–0,0.0,Norwich City
Manchester City,0.7,2–1,1.8,Bournemouth
Newcastle Utd,1.1,1–3,1.1,Tottenham
Burnley,1.8,1–1,1.1,Wolves
Arsenal,0.9,2–1,2.6,Liverpool
Everton,0.6,1–1,1.5,Aston Villa
Leicester City,2.1,2–0,0.2,Sheffield Utd
Southampton,2.0,1–1,0.8,Brighton
Crystal Palace,0.7,0–2,1.8,Manchester Utd
West Ham,0.7,3–1,1.5,Watford
,,,,
Norwich City,0.4,0–2,2.0,Burnley
Bournemouth,1.6,0–2,2.3,Southampton
Tottenham,0.6,3–0,1.7,Leicester City
Sheffield Utd,0.7,0–1,0.4,Everton
Brighton,0.7,0–0,0.7,Newcastle Utd
Wolves,1.4,2–0,0.4,Crystal Palace
Watford,0.1,0–4,3.6,Manchester City
Aston Villa,0.7,1–0,0.8,Arsenal
Manchester Utd,0.8,1–1,1.8,West Ham
Liverpool,1.4,5–3,2.4,Chelsea
,,,,
Crystal Palace,,,,Tottenham
West Ham,,,,Aston Villa
Southampton,,,,Sheffield Utd
Arsenal,,,,Watford
Leicester City,,,,Manchester Utd
Everton,,,,Bournemouth
Chelsea,,,,Wolves
Manchester City,,,,Norwich City
Burnley,,,,Brighton
Newcastle Utd,,,,Liverpool
